segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,8.65,-239.25,31.05,2.1047566
1,0,8.65,-239.25,31.0,0.46904156
2,1,8.65,-239.15,30.35,0.4358899
3,2,5.15,-241.35,18.099998,0.50990194
4,3,3.325,-241.84999,16.925,0.46368092
5,4,0.5,-242.65001,14.974999,0.52201533
6,5,-0.275,-243.82501,14.475,0.6062178
7,6,-0.225,-246.0,16.225,0.51478153
8,7,-0.9,-260.0,22.025,0.4924429
9,8,-1.375,-267.625,26.124998,0.4555217
10,9,-1.3249999,-271.175,30.475,0.5722762
11,10,-1.3000001,-272.95,36.5,0.41231057
12,11,0.6,-273.15,38.100002,0.36055514
13,12,2.8999999,-273.42502,39.825,0.43011624
14,13,4.475,-273.775,42.449997,0.44158804
15,14,4.975,-274.2,45.5,0.42720017
16,15,4.4500003,-274.65,48.525,0.4924429
17,16,2.8999999,-275.0,51.1,0.48989794
18,17,0.6,-275.3,52.824997,0.5123476
19,18,-2.1,-275.35,53.399998,0.5
