segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-12.9,-239.25,31.05,2.177154
1,0,-12.9,-239.25,31.0,0.53851646
2,1,-12.9,-239.15,30.35,0.50990194
3,2,-9.425,-241.35,18.099998,0.5024938
4,3,-7.625,-241.84999,16.925,0.46368092
5,4,-4.775,-242.65001,14.974999,0.5612486
6,5,-4.0,-243.82501,14.475,0.47434163
7,6,-4.0750003,-246.0,16.225,0.51478153
8,7,-3.3750002,-260.0,22.025,0.51478153
9,8,-2.8999999,-267.625,26.124998,0.49497476
10,9,-2.925,-271.175,30.475,0.4974937
11,10,-3.0,-272.95,36.5,0.41231057
12,11,-4.8500004,-273.15,38.100002,0.37416574
13,12,-7.175,-273.42502,39.825,0.295804
14,13,-8.725,-273.775,42.449997,0.44158804
15,14,-9.25,-274.2,45.5,0.5
16,15,-8.7,-274.65,48.525,0.4387482
17,16,-7.2,-275.0,51.1,0.48989794
18,17,-4.8500004,-275.3,52.824997,0.48218253
19,18,-2.2,-275.35,53.399998,0.5
