segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,11.0,-242.375,32.45,2.823119
1,0,11.0,-243.3,32.8,0.6
2,1,11.0,-245.54999,33.75,0.50990194
3,2,10.65,-250.85,36.25,0.4358899
4,3,7.825,-254.55,37.65,0.47169906
5,4,3.875,-259.225,39.35,0.54313904
6,5,3.8249998,-263.15,40.75,0.47169906
21,0,11.0,-241.45,32.100002,0.5744563
22,21,11.0,-241.1,31.900002,0.48989794
23,22,11.0,-240.40001,29.800001,0.56568545
24,23,8.150001,-240.35,25.400002,0.46904156
25,24,3.3,-241.05,18.35,0.46904156
26,25,-0.875,-242.3,15.299999,0.47169906
27,26,-1.425,-242.95001,15.299999,0.6103278
28,27,-1.525,-243.95001,14.775001,0.5244044
29,28,-1.4499999,-247.90001,17.35,0.42426404
30,29,-1.95,-266.8,25.150002,0.46904156
31,30,-1.95,-269.9,29.1,0.41231057
32,31,-1.95,-270.8,30.050001,0.46904156
7,6,3.85,-263.275,41.0,0.5024938
8,7,3.8,-263.2,41.125,0.3774917
9,8,3.85,-261.625,41.0,0.26925823
10,9,3.9500003,-259.34998,40.375,0.20615529
11,10,6.45,-256.75,39.399998,0.24494897
12,11,10.9,-252.4,37.9,0.28284273
13,12,15.099999,-250.3,37.2,0.28284273
14,13,19.050001,-250.15,37.2,0.24494897
15,14,19.8,-250.09999,37.1,0.28284273
16,6,3.8249998,-263.52502,40.95,0.46368092
17,16,3.8249998,-265.925,42.15,0.46368092
18,17,3.8249998,-276.1,48.649998,0.5408327
19,18,3.8249998,-278.025,49.0,0.5338539
20,19,3.8249998,-279.925,48.25,0.39370042
