segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-15.299999,-242.375,32.45,2.823119
1,0,-15.299999,-243.3,32.8,0.6
2,1,-15.35,-245.54999,33.75,0.4358899
3,2,-15.000001,-250.85,36.25,0.50990194
4,3,-12.15,-254.55,37.65,0.4358899
5,4,-8.25,-259.225,39.35,0.45
6,5,-8.150001,-263.15,40.75,0.4358899
21,0,-15.299999,-241.45,32.100002,0.5744563
22,21,-15.35,-241.1,31.900002,0.41231057
23,22,-15.35,-240.40001,29.800001,0.5
24,23,-12.475,-240.35,25.400002,0.39051247
25,24,-7.625,-241.05,18.35,0.4924429
26,25,-3.475,-242.3,15.299999,0.45
27,26,-2.95,-242.95001,15.299999,0.50990194
28,27,-2.85,-243.95001,14.775001,0.55
29,28,-2.85,-247.90001,17.35,0.42426404
30,29,-2.35,-266.8,25.150002,0.46904156
31,30,-2.35,-269.9,29.1,0.41231057
32,31,-2.35,-270.8,30.050001,0.46904156
7,6,-8.150001,-263.275,41.0,0.5024938
8,7,-8.2,-263.2,41.125,0.3774917
9,8,-8.2,-261.625,41.0,0.32015622
10,9,-8.25,-259.34998,40.375,0.20615529
11,10,-10.75,-256.75,39.399998,0.24494897
12,11,-15.25,-252.4,37.9,0.3
13,12,-19.425001,-250.3,37.2,0.28722814
14,13,-20.3,-250.15,37.2,0.2236068
15,14,-21.075,-250.09999,37.1,0.32015622
16,6,-8.150001,-263.52502,40.95,0.42720017
17,16,-8.150001,-265.925,42.15,0.4924429
18,17,-8.150001,-276.1,48.649998,0.42426404
19,18,-8.150001,-278.025,49.0,0.5024938
20,19,-8.150001,-279.925,48.25,0.42720017
