segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.7,-265.75,47.55,2.8653097
1,0,2.7,-265.05002,47.55,0.5830952
2,1,2.7,-264.94998,47.1,0.5
3,2,3.85,-266.45,44.45,0.4358899
4,3,4.2,-269.0,43.8,0.56568545
5,4,5.2000003,-271.4,44.7,0.56568545
6,5,5.6000004,-275.4,46.1,0.56568545
7,6,6.4,-286.8,50.300003,0.56568545
8,7,7.4,-289.8,51.1,0.56568545
9,8,7.9000006,-293.19998,52.100002,0.56568545
10,9,7.9000006,-296.6,52.8,0.56568545
11,10,7.5000005,-299.8,53.3,0.56568545
12,11,6.2,-304.6,54.100002,0.56568545
13,12,5.0,-320.15,56.0,0.5744563
14,13,3.1,-331.95,57.200005,0.5744563
15,14,2.3,-337.15,57.8,0.5744563
16,15,1.3000001,-342.8,58.600002,0.56568545
17,16,0.70000005,-348.6,58.899998,0.56568545
18,17,0.70000005,-349.44998,58.999996,0.5744563
19,0,2.7,-266.45,47.55,0.5830952
20,19,2.7,-266.9,46.95,0.53851646
21,20,2.925,-269.4,45.4,0.32015622
22,21,4.325,-271.44998,44.75,0.40311286
23,22,5.0,-273.8,45.6,0.28284273
24,23,4.975,-274.075,45.6,0.2915476
25,24,4.975,-274.2,45.5,0.42720017
26,25,4.475,-273.775,42.449997,0.44158804
27,26,2.8999999,-273.42502,39.825,0.47434163
28,27,0.65000004,-273.15,38.125,0.47169906
29,28,-2.1,-273.05,37.475,0.39051247
30,24,4.95,-274.25,45.699997,0.42426404
31,30,4.4500003,-274.65,48.525,0.4924429
32,31,2.8999999,-275.0,51.1,0.48989794
33,32,0.6,-275.3,52.824997,0.5123476
34,33,-2.1,-275.35,53.399998,0.5
