segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.95,-265.75,47.55,2.8142495
17,0,-6.95,-265.05002,47.55,0.65574384
18,17,-6.95,-264.94998,47.1,0.42426404
19,18,-8.1,-266.45,44.45,0.50990194
20,19,-8.45,-269.0,43.8,0.5
21,20,-9.5,-271.4,44.7,0.56568545
22,21,-9.8,-275.4,46.1,0.56568545
23,22,-10.599999,-286.8,50.300003,0.56568545
24,23,-11.7,-289.8,51.1,0.56568545
25,24,-12.2,-293.19998,52.100002,0.56568545
26,25,-12.2,-296.6,52.8,0.56568545
27,26,-11.8,-299.8,53.3,0.56568545
28,27,-10.400001,-304.6,54.100002,0.56568545
29,28,-9.3,-320.15,56.0,0.5744563
30,29,-7.2999997,-331.95,57.200005,0.5744563
31,30,-6.5,-337.15,57.8,0.5744563
32,31,-5.6000004,-342.8,58.600002,0.56568545
33,32,-5.0,-348.6,58.899998,0.56568545
34,33,-5.0,-349.44998,58.999996,0.5744563
1,0,-6.95,-266.45,47.55,0.65574384
2,1,-6.95,-266.9,46.95,0.46904156
3,2,-7.175,-269.4,45.4,0.40311286
4,3,-8.6,-271.44998,44.75,0.50990194
5,4,-9.275,-273.8,45.6,0.25
6,5,-9.25,-274.075,45.6,0.39051247
7,6,-9.25,-274.2,45.5,0.5
8,7,-8.725,-273.775,42.449997,0.36742347
9,8,-7.175,-273.42502,39.825,0.4555217
10,9,-4.9,-273.15,38.125,0.4609772
11,10,-2.2,-273.05,37.475,0.39051247
12,6,-9.224999,-274.25,45.699997,0.4609772
13,12,-8.7,-274.65,48.525,0.4387482
14,13,-7.2,-275.0,51.1,0.48989794
15,14,-4.8500004,-275.3,52.824997,0.48218253
16,15,-2.2,-275.35,53.399998,0.5
