segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.5,-268.375,43.5,2.8722813
16,0,4.5,-267.45,43.1,0.5744563
17,16,4.5,-267.05002,42.8,0.53851646
18,17,4.4500003,-266.0,40.65,0.50990194
19,18,4.0,-265.4,30.75,0.5744563
20,19,3.5500002,-265.59998,29.800001,0.53851646
21,20,-1.0,-267.6,26.499998,0.6
22,21,-1.8,-268.95,27.5,0.53851646
23,22,-1.8,-271.25,30.5,0.53851646
24,23,-1.75,-272.825,35.95,0.55
25,24,-1.0,-273.05,37.6,0.41231057
26,25,0.65000004,-273.15,38.125,0.35000002
27,26,2.8999999,-273.42502,39.825,0.43011624
28,27,4.475,-273.775,42.449997,0.44158804
29,28,4.975,-274.2,45.5,0.42720017
30,29,4.4500003,-274.65,48.525,0.4924429
31,30,2.8999999,-275.0,51.1,0.48989794
32,31,0.6,-275.3,52.824997,0.5123476
33,32,-2.1,-275.35,53.399998,0.5
1,0,4.5,-269.30002,43.9,0.6
2,1,4.5,-271.30002,44.25,0.64031243
3,2,5.6000004,-274.2,45.0,0.56568545
4,3,5.9,-278.9,47.3,0.56568545
5,4,7.4,-288.9,51.0,0.56568545
6,5,7.9000006,-293.19998,52.100002,0.56568545
7,6,7.9000006,-296.6,52.8,0.56568545
8,7,7.5000005,-299.8,53.3,0.56568545
9,8,6.2,-304.6,54.100002,0.56568545
10,9,5.0,-320.15,56.0,0.5744563
11,10,3.1,-331.95,57.200005,0.5744563
12,11,2.3,-337.15,57.8,0.5744563
13,12,1.3000001,-342.8,58.600002,0.56568545
14,13,0.70000005,-348.6,58.899998,0.56568545
15,14,0.70000005,-349.44998,58.999996,0.5744563
