segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.8,-264.15,35.550003,2.5019991
1,0,0.8,-264.19998,35.550003,0.5
2,1,0.8,-265.05002,34.9,0.5744563
3,2,0.8,-265.9,34.2,0.56568545
4,3,0.8,-268.45,34.65,0.50990194
5,4,0.8,-272.8,37.35,0.53851646
6,5,0.8,-273.15,37.8,0.5
7,6,2.8999999,-273.42502,39.825,0.40620193
8,7,4.475,-273.775,42.449997,0.44158804
9,8,4.975,-274.2,45.5,0.42720017
10,9,4.4500003,-274.65,48.525,0.4924429
11,10,2.8999999,-275.0,51.1,0.48989794
12,11,0.6,-275.3,52.824997,0.5123476
13,12,-2.1,-275.35,53.399998,0.5
