segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.1,-264.15,35.550003,2.5019991
1,0,-5.1,-264.19998,35.550003,0.5
2,1,-5.1,-265.05002,34.9,0.5744563
3,2,-5.1,-265.9,34.2,0.56568545
4,3,-5.1,-268.45,34.65,0.50990194
5,4,-5.1,-272.8,37.35,0.53851646
6,5,-5.1,-273.15,37.8,0.5
7,6,-7.175,-273.42502,39.825,0.295804
8,7,-8.725,-273.775,42.449997,0.44158804
9,8,-9.25,-274.2,45.5,0.5
10,9,-8.7,-274.65,48.525,0.4387482
11,10,-7.2,-275.0,51.1,0.48989794
12,11,-4.8500004,-275.3,52.824997,0.48218253
13,12,-2.2,-275.35,53.399998,0.5
