segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.7,-266.19998,37.0,2.5455844
1,0,2.7,-266.25,36.899998,0.64031243
2,1,3.2,-265.85,33.575,0.5024938
3,2,3.7,-265.5,30.050001,0.5
4,3,1.175,-266.7,28.150002,0.5024938
5,4,-1.1,-267.7,26.574999,0.4924429
6,5,-1.75,-268.45,26.9,0.5477225
7,6,-2.025,-271.30002,30.65,0.5408327
8,7,-2.1,-272.7,35.95,0.53851646
9,8,-1.0,-273.075,37.55,0.5024938
10,9,0.525,-272.95,38.15,0.42720017
11,10,2.8999999,-272.75,39.825,0.39051247
12,11,4.475,-273.15,42.449997,0.47169906
13,12,4.975,-273.55002,45.5,0.33541018
14,13,4.4500003,-274.05,48.525,0.4924429
15,14,2.8999999,-274.35,51.1,0.41231057
16,15,0.6,-274.65,52.824997,0.39051247
17,16,-1.65,-274.55002,53.100002,0.46904156
18,17,-2.125,-274.57498,53.250004,0.61237246
19,18,-2.125,-275.3,53.399998,0.47169906
20,19,-2.15,-276.0,53.3,0.70000005
21,20,-2.675,-276.1,53.149998,0.39051247
22,21,-4.8500004,-276.05,52.824997,0.40311286
23,22,-7.1000004,-275.75,51.1,0.41231057
24,23,-8.65,-275.4,48.525,0.5024938
25,24,-9.2,-274.95,45.5,0.5
26,25,-8.7,-274.55002,42.449997,0.37416574
27,26,-7.125,-274.15,39.825,0.46368092
28,27,-4.775,-274.05,38.125,0.46368092
29,28,-3.15,-273.875,37.4,0.4609772
30,29,-2.7,-273.475,35.600002,0.32015622
31,30,-2.7,-272.42502,34.45,0.4387482
