segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.8999996,-266.19998,37.0,2.5455844
1,0,-6.85,-266.25,36.899998,0.70710677
2,1,-7.4,-265.85,33.575,0.5024938
3,2,-7.9000006,-265.5,30.050001,0.5
4,3,-5.325,-266.7,28.150002,0.4387482
5,4,-3.05,-267.7,26.574999,0.5024938
6,5,-2.4250002,-268.45,26.9,0.5408327
7,6,-2.15,-271.30002,30.65,0.50990194
8,7,-2.1,-272.7,35.95,0.53851646
9,8,-3.2,-273.075,37.55,0.5024938
10,9,-4.7,-272.95,38.15,0.42426404
11,10,-7.075,-272.75,39.825,0.39370042
12,11,-8.625,-273.15,42.449997,0.40311286
13,12,-9.15,-273.55002,45.5,0.42426404
14,13,-8.6,-274.02502,48.525,0.35355338
15,14,-7.1000004,-274.35,51.1,0.41231057
16,15,-4.75,-274.65,52.824997,0.40311286
17,16,-2.525,-274.55002,53.100002,0.52201533
18,17,-2.05,-274.57498,53.250004,0.5678908
19,18,-2.05,-275.3,53.399998,0.5
20,19,-2.0,-276.0,53.3,0.66332495
21,20,-1.5,-276.1,53.149998,0.36055514
22,21,0.65000004,-276.05,52.824997,0.40311286
23,22,2.95,-275.75,51.1,0.46904156
24,23,4.475,-275.4,48.525,0.49497476
25,24,5.05,-274.95,45.5,0.42426404
26,25,4.5249996,-274.55002,42.449997,0.40311286
27,26,2.95,-274.15,39.825,0.47169906
28,27,0.625,-274.05,38.125,0.46368092
29,28,-1.05,-273.875,37.4,0.4609772
30,29,-1.4499999,-273.475,35.600002,0.26925823
31,30,-1.5,-272.42502,34.45,0.4387482
