segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,9.25,-253.44998,28.400002,2.7748873
1,0,9.25,-253.44998,28.349998,0.71414286
2,1,8.349999,-255.7,28.9,0.3
3,2,4.0750003,-264.0,31.5,0.32015622
4,3,-0.2,-271.35,33.8,0.3
5,4,-0.35000002,-272.075,34.850002,0.35000002
6,5,-0.35000002,-272.95,36.55,0.33166248
7,6,0.575,-273.15,38.100002,0.3640055
8,7,2.8999999,-273.42502,39.825,0.43011624
9,8,4.475,-273.775,42.449997,0.44158804
10,9,4.975,-274.2,45.5,0.42720017
11,10,4.4500003,-274.65,48.525,0.4924429
12,11,2.8999999,-275.0,51.1,0.48989794
13,12,0.6,-275.3,52.824997,0.5123476
14,13,-2.1,-275.35,53.399998,0.5
