segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-13.500001,-253.44998,28.400002,2.8442924
1,0,-13.500001,-253.44998,28.349998,0.78740084
2,1,-12.6,-255.7,28.9,0.34641016
3,2,-8.325,-264.0,31.5,0.28722814
4,3,-4.1,-271.35,33.8,0.3
5,4,-3.9250002,-272.075,34.850002,0.23452078
6,5,-3.9,-272.95,36.55,0.24494897
7,6,-4.8500004,-273.15,38.100002,0.37416574
8,7,-7.175,-273.42502,39.825,0.295804
9,8,-8.725,-273.775,42.449997,0.44158804
10,9,-9.25,-274.2,45.5,0.5
11,10,-8.7,-274.65,48.525,0.4387482
12,11,-7.2,-275.0,51.1,0.48989794
13,12,-4.8500004,-275.3,52.824997,0.48218253
14,13,-2.2,-275.35,53.399998,0.5
