segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.4499999,-269.542,39.357998,2.3537204
8,0,-4.6,-273.15,38.05,0.46904156
9,8,-7.125,-273.42502,39.825,0.4555217
10,9,-8.7,-273.775,42.449997,0.41533118
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.65,-274.65,48.525,0.4924429
13,12,-7.1000004,-275.0,51.1,0.48989794
14,13,-4.8500004,-275.3,52.824997,0.48218253
15,0,-3.85,-273.225,36.125,0.41833004
16,15,-3.6499999,-273.35,32.475002,0.42720017
1,0,4.1,-262.25,43.9,0.5744563
2,1,4.1499996,-264.05002,44.4,0.50990194
3,2,4.1499996,-272.19998,46.95,0.42426404
4,3,4.05,-274.275,48.0,0.5024938
5,4,2.8999999,-275.0,51.1,0.48989794
6,5,0.6,-275.3,52.824997,0.5123476
7,6,-2.1,-275.35,53.399998,0.5
