segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.067,-269.542,39.357998,2.3537204
8,0,0.1,-273.15,38.05,0.46904156
9,8,2.625,-273.42502,39.825,0.4555217
10,9,4.1749997,-273.775,42.449997,0.44158804
11,10,4.7,-274.2,45.5,0.4472136
12,11,4.1499996,-274.65,48.525,0.4924429
13,12,2.6000001,-275.0,51.1,0.48989794
14,13,0.3,-275.3,52.824997,0.5123476
15,0,-0.65000004,-273.225,36.125,0.41833004
16,15,-0.85,-273.35,32.475002,0.42720017
1,0,-8.65,-262.25,43.9,0.50990194
2,1,-8.65,-264.05002,44.4,0.50990194
3,2,-8.65,-272.19998,46.95,0.42426404
4,3,-8.55,-274.275,48.0,0.5024938
5,4,-7.4,-275.0,51.1,0.48989794
6,5,-5.1,-275.3,52.824997,0.5123476
7,6,-2.4,-275.35,53.399998,0.5
