segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,7.4500003,-252.50002,28.95,2.6870058
1,0,7.4,-252.6,28.9,0.56568545
2,1,7.25,-253.62502,29.05,0.42720017
3,2,-0.55,-269.45,33.75,0.4358899
4,3,-0.55,-272.1,34.95,0.37416574
5,4,-0.55,-272.6,36.199997,0.41231057
6,5,0.575,-273.15,38.075,0.46368092
7,6,2.8999999,-273.42502,39.825,0.43011624
8,7,4.475,-273.775,42.449997,0.44158804
9,8,4.975,-274.2,45.5,0.42720017
10,9,4.4500003,-274.65,48.525,0.4924429
11,10,2.8999999,-275.0,51.1,0.48989794
12,11,0.6,-275.3,52.824997,0.5123476
13,12,-2.1,-275.35,53.399998,0.5
