segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-11.7,-252.50002,28.95,2.758623
1,0,-11.7,-252.6,28.9,0.56568545
2,1,-11.55,-253.62502,29.05,0.42720017
3,2,-3.7500002,-269.45,33.75,0.4358899
4,3,-3.7500002,-272.1,34.95,0.37416574
5,4,-3.7500002,-272.6,36.199997,0.41231057
6,5,-4.8250003,-273.15,38.075,0.46368092
7,6,-7.175,-273.42502,39.825,0.295804
8,7,-8.725,-273.775,42.449997,0.44158804
9,8,-9.25,-274.2,45.5,0.5
10,9,-8.7,-274.65,48.525,0.4387482
11,10,-7.2,-275.0,51.1,0.48989794
12,11,-4.8500004,-275.3,52.824997,0.48218253
13,12,-2.2,-275.35,53.399998,0.5
