segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,5.6000004,-258.75,37.45,2.5258663
1,0,5.65,-258.75,37.3,0.50990194
2,1,5.45,-260.34998,36.55,0.4358899
3,2,5.05,-263.425,35.175,0.5244044
4,3,4.675,-264.45,33.8,0.4387482
5,4,3.625,-265.7,29.85,0.41533118
6,5,-0.075,-267.15,27.050001,0.3774917
7,6,-1.3000001,-267.625,26.300001,0.47169906
8,7,-1.475,-267.95,26.425001,0.44158804
9,8,-1.95,-268.6,27.35,0.37416574
10,9,-2.025,-269.45,28.275002,0.46368092
11,10,-2.025,-271.30002,30.7,0.32015622
12,11,-2.05,-272.75,35.85,0.4358899
13,12,-1.1,-272.95,37.475,0.39051247
14,13,0.65000004,-273.15,38.125,0.40311286
15,14,2.8999999,-273.42502,39.825,0.43011624
16,15,4.475,-273.775,42.449997,0.44158804
17,16,4.975,-274.2,45.5,0.42720017
18,17,4.4500003,-274.65,48.525,0.4924429
19,18,2.8999999,-275.0,51.1,0.48989794
20,19,0.6,-275.3,52.824997,0.5123476
21,20,-2.1,-275.35,53.399998,0.5
