segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.95,-258.75,37.45,2.4556057
1,0,-9.95,-258.75,37.3,0.50990194
2,1,-9.75,-260.34998,36.55,0.4358899
3,2,-9.375,-263.425,35.175,0.4555217
4,3,-8.975,-264.45,33.8,0.4387482
5,4,-7.95,-265.7,29.85,0.50990194
6,5,-4.275,-267.15,27.050001,0.4924429
7,6,-3.025,-267.625,26.300001,0.45276928
8,7,-2.825,-267.95,26.425001,0.44158804
9,8,-2.375,-268.6,27.35,0.33541018
10,9,-2.3,-269.45,28.275002,0.5024938
11,10,-2.3,-271.30002,30.7,0.34641016
12,11,-2.2749999,-272.75,35.85,0.35000002
13,12,-3.2,-272.95,37.475,0.39051247
14,13,-4.95,-273.15,38.125,0.40311286
15,14,-7.225,-273.42502,39.825,0.4555217
16,15,-8.8,-273.775,42.449997,0.41533118
17,16,-9.3,-274.2,45.5,0.4472136
18,17,-8.75,-274.65,48.525,0.4924429
19,18,-7.2,-275.0,51.1,0.48989794
20,19,-4.95,-275.3,52.824997,0.48218253
21,20,-2.2,-275.35,53.399998,0.5
