segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.35,-271.0,50.85,1.8493242
1,0,-1.4499999,-271.0,50.85,1.8493242
2,1,-1.075,-271.95,50.65,0.68007356
3,2,0.45,-272.975,50.4,0.6873864
4,3,2.4,-274.125,48.8,0.7088724
5,4,3.075,-274.44998,47.05,0.61846584
6,5,3.9500003,-273.55002,46.2,0.70710677
7,6,4.125,-270.30002,44.825,0.73824114
8,7,4.05,-263.55,42.75,0.76811457
9,8,4.9249997,-258.55,40.45,0.61846584
10,9,7.7749996,-256.0,39.35,0.7433034
11,10,10.65,-251.55,37.45,0.76811457
12,11,11.625,-246.425,35.375,0.71239036
13,12,15.950001,-215.65001,21.375,0.68007356
14,13,16.1,-213.1,19.675,0.66520673
15,14,16.25,-184.65001,-0.72499996,0.68007356
16,15,16.1,-149.45,-21.675,0.6873864
17,16,16.35,-115.3,-37.675,0.7433034
18,17,16.45,-109.8,-38.75,0.70710677
19,18,16.55,-83.1,-43.75,0.70710677
20,19,16.35,-65.55,-43.35,0.71414286
21,20,16.45,-49.5,-43.0,0.67082036
22,21,16.599998,-35.45,-36.649998,0.6480741
23,22,16.45,90.6,23.1,0.67082036
24,23,16.65,96.350006,25.05,0.71414286
25,24,16.85,134.09999,28.05,0.70710677
26,25,16.45,172.95001,26.050001,0.71414286
27,26,15.950001,210.85,15.549999,0.71414286
28,27,16.0,269.8,-1.75,0.64031243
29,28,13.150001,305.9,-6.5499997,0.70710677
30,29,11.85,347.84998,-6.05,0.71414286
31,30,5.65,402.25,6.1,0.6480741
32,31,5.65,402.65002,6.15,0.71414286
