segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,22.675,-60.75,-37.149998,4.666905
6,0,22.65,-62.4,-37.149998,0.9899495
7,6,22.7,-63.300003,-37.149998,0.78102493
8,7,22.65,-82.35,-37.25,0.71414286
9,8,22.45,-114.8,-29.949999,0.70710677
10,9,22.45,-148.85,-13.249999,0.71414286
11,10,22.45,-183.15001,6.85,0.71414286
12,11,21.75,-209.9,24.65,0.70710677
13,12,18.05,-240.05,39.55,0.71414286
14,13,15.65,-267.8,49.5,0.78102493
15,14,14.95,-272.175,51.45,0.7088724
1,0,22.7,-59.100002,-37.149998,1.0630145
2,1,22.7,-58.3,-37.149998,0.8062257
3,2,23.9,-48.6,-33.45,0.78102493
4,3,23.9,-39.3,-31.349998,0.78102493
5,4,23.9,-38.25,-31.2,0.85440034
16,15,14.675,-272.44998,51.55,0.86168444
17,16,13.85,-272.6,50.325,0.6103278
18,17,7.7,-272.675,45.3,0.75
19,18,6.075,-272.75,44.125,0.75828755
20,19,5.7999997,-272.95,44.275,0.9013878
21,20,5.475,-273.35,45.25,0.47169906
22,21,4.775,-274.95,47.75,0.47169906
23,22,3.9,-275.7,49.2,0.48989794
24,19,5.775,-272.7,43.825,0.6819091
25,24,5.7999997,-272.44998,43.25,0.5830952
26,25,5.0,-271.05,40.925,0.41533118
27,26,3.2,-269.95,39.225,0.5024938
28,15,14.925,-272.775,51.65,0.74498326
29,28,13.349999,-289.425,55.05,0.7088724
30,29,12.15,-296.25,56.15,0.71414286
31,30,10.55,-304.275,56.300003,0.78262377
32,31,10.35,-305.725,56.449997,0.7088724
