segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-24.15,-60.75,-37.149998,4.666905
6,0,-24.15,-62.4,-37.149998,0.9899495
7,6,-24.15,-63.300003,-37.149998,0.70710677
8,7,-24.15,-82.35,-37.25,0.71414286
9,8,-23.95,-114.8,-29.949999,0.70710677
10,9,-23.95,-148.85,-13.249999,0.71414286
11,10,-23.95,-183.15001,6.85,0.71414286
12,11,-23.55,-209.9,24.65,0.70710677
13,12,-19.85,-240.05,39.55,0.71414286
14,13,-17.45,-267.8,49.5,0.78102493
15,14,-17.85,-272.175,51.45,0.7088724
1,0,-24.15,-59.100002,-37.149998,0.9899495
2,1,-24.15,-58.3,-37.149998,0.73484695
3,2,-25.400002,-48.6,-33.45,0.78102493
4,3,-25.400002,-39.3,-31.349998,0.78102493
5,4,-25.400002,-38.25,-31.2,0.85440034
16,15,-17.6,-272.44998,51.55,0.7615773
17,16,-16.75,-272.6,50.325,0.6103278
18,17,-11.95,-272.675,45.3,0.7566373
19,18,-10.35,-272.75,44.125,0.7632169
20,19,-10.075,-272.95,44.275,0.8093207
21,20,-9.725,-273.35,45.25,0.5678908
22,21,-9.075,-274.95,47.75,0.47169906
23,22,-8.150001,-275.7,49.2,0.5744563
24,19,-10.05,-272.7,43.825,0.72972596
25,24,-10.05,-272.44998,43.25,0.51961523
26,25,-9.3,-271.05,40.925,0.41533118
27,26,-7.4500003,-269.95,39.225,0.585235
28,15,-17.85,-272.775,51.65,0.7088724
29,28,-16.25,-289.425,55.05,0.7088724
30,29,-15.05,-296.25,56.15,0.71414286
31,30,-13.45,-304.275,56.300003,0.78262377
32,31,-13.249999,-305.725,56.449997,0.7088724
