segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.32500002,406.69998,12.375,2.317326
1,0,0.3,405.95,12.1,0.5744563
2,1,0.5,404.75,11.8,0.3
3,2,5.2999997,375.4,5.7999997,0.28284273
4,3,6.95,354.65,1.0,0.37416574
5,4,7.5000005,349.1,0.9,0.28284273
6,5,10.55,320.90002,0.9,0.36055514
7,6,10.55,316.5,1.4499999,0.42426404
8,7,10.55,289.4,5.55,0.42426404
9,8,10.55,277.44998,8.65,0.4358899
10,9,10.55,176.7,36.7,0.36055514
11,10,10.55,172.7,37.2,0.36055514
12,11,10.55,126.0,40.4,0.36055514
13,12,10.55,123.5,40.25,0.42426404
14,13,10.55,82.55,31.5,0.37416574
15,14,10.55,76.5,28.8,0.36055514
16,15,10.55,43.5,13.950001,0.37416574
17,16,10.55,10.5,-5.85,0.37416574
18,17,10.55,-42.399998,-28.5,0.36055514
19,18,10.55,-47.75,-29.300001,0.37416574
20,19,10.55,-79.25,-32.7,0.37416574
21,20,10.55,-84.3,-31.8,0.36055514
22,21,10.55,-133.15001,-20.3,0.37416574
23,22,10.55,-136.65001,-18.7,0.37416574
24,23,10.55,-169.95,2.2,0.37416574
25,24,10.55,-213.75,28.8,0.37416574
26,25,9.8,-241.24998,42.8,0.3
27,26,9.3,-242.6,43.2,0.28284273
28,27,5.2000003,-256.4,46.9,0.28284273
29,28,3.4,-269.8,50.15,0.36055514
30,29,3.1,-273.30002,50.700005,0.28284273
31,30,3.1,-274.175,50.6,0.32015622
32,31,3.2749999,-274.7,50.4,0.3774917
33,32,3.3750002,-274.85,49.95,0.35000002
34,33,4.575,-274.7,48.225002,0.40620193
35,34,5.025,-274.3,45.375,0.32403705
36,35,5.1,-274.3,45.3,0.28284273
37,0,0.35000002,407.45,12.65,0.4358899
38,37,0.35000002,409.15,13.3,0.37416574
39,38,0.35000002,414.2,15.299999,0.41231057
40,39,0.35000002,419.50003,18.4,0.41231057
41,40,0.35000002,430.24997,29.300001,0.37416574
42,41,-0.6,437.0,36.7,0.34641016
43,42,-0.6,446.8,47.75,0.3
44,43,-0.6,446.99997,48.0,0.34641016
