segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.925,406.69998,12.375,2.317326
1,0,-2.8999999,405.95,12.1,0.5744563
2,1,-3.1,404.75,11.8,0.3
3,2,-7.9000006,375.4,5.7999997,0.28284273
4,3,-9.55,354.65,1.0,0.37416574
5,4,-10.1,349.1,0.9,0.28284273
6,5,-13.2,320.90002,0.9,0.28284273
7,6,-13.2,316.5,1.4499999,0.36055514
8,7,-13.2,289.4,5.55,0.36055514
9,8,-13.2,277.44998,8.65,0.37416574
10,9,-13.2,176.7,36.7,0.28284273
11,10,-13.2,172.7,37.2,0.28284273
12,11,-13.2,126.0,40.4,0.28284273
13,12,-13.2,123.5,40.25,0.36055514
14,13,-13.2,82.55,31.5,0.3
15,14,-13.2,76.5,28.8,0.28284273
16,15,-13.2,43.5,13.950001,0.3
17,16,-13.2,10.5,-5.85,0.3
18,17,-13.2,-42.399998,-28.5,0.28284273
19,18,-13.2,-47.75,-29.300001,0.3
20,19,-13.2,-79.25,-32.7,0.3
21,20,-13.2,-84.3,-31.8,0.28284273
22,21,-13.2,-133.15001,-20.3,0.3
23,22,-13.2,-136.65001,-18.7,0.3
24,23,-13.2,-169.95,2.2,0.3
25,24,-13.2,-213.75,28.8,0.3
26,25,-14.300001,-241.24998,42.8,0.3
27,26,-13.799999,-242.6,43.2,0.28284273
28,27,-9.3,-256.4,46.9,0.28284273
29,28,-7.2999997,-269.8,50.15,0.36055514
30,29,-7.0,-273.30002,50.700005,0.28284273
31,30,-7.0,-274.175,50.6,0.32015622
32,31,-7.2,-274.7,50.4,0.34641016
33,32,-7.2999997,-274.85,49.95,0.24494897
34,33,-8.474999,-274.7,48.225002,0.40620193
35,34,-8.975,-274.3,45.375,0.40620193
36,35,-9.0,-274.3,45.3,0.28284273
37,0,-2.95,407.45,12.65,0.4358899
38,37,-2.95,409.15,13.3,0.37416574
39,38,-2.95,414.2,15.299999,0.41231057
40,39,-2.95,419.50003,18.4,0.41231057
41,40,-1.8,430.24997,29.300001,0.3
42,41,-1.2,437.0,36.7,0.34641016
43,42,-0.6,446.99997,47.75,0.3
44,43,-0.6,447.30002,48.0,0.34641016
