segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-14.8,-243.05,33.95,2.57682
1,0,-14.8,-242.15,33.75,0.50990194
2,1,-14.8,-241.9,33.5,0.48989794
3,2,-14.8,-241.35,32.85,0.50990194
4,3,-14.45,-241.30002,31.7,0.53851646
5,4,-11.125,-241.54999,25.400002,0.4387482
6,5,-6.3,-241.05,18.35,0.46904156
7,6,-2.1,-242.3,15.299999,0.48989794
8,7,-1.55,-242.95001,15.299999,0.50990194
9,8,-1.4499999,-243.95001,14.775001,0.55
10,9,-1.4499999,-247.90001,17.35,0.42426404
11,10,-1.95,-266.9,24.95,0.46904156
12,11,-1.95,-271.25,30.300001,0.46904156
13,12,-2.05,-273.05,36.899998,0.42426404
14,13,-2.05,-273.05,37.35,0.4358899
33,0,-14.8,-243.95001,34.15,0.50990194
34,33,-14.8,-245.84999,34.65,0.50990194
35,34,-14.8,-246.0,34.65,2.2293496
36,35,-14.8,-246.09999,34.65,2.2293496
15,14,-1.9,-273.075,37.475,0.43011624
16,15,0.65000004,-273.15,38.125,0.35000002
17,16,2.8999999,-273.42502,39.825,0.43011624
18,17,4.475,-273.775,42.449997,0.44158804
19,18,4.975,-274.2,45.5,0.42720017
20,19,4.4500003,-274.65,48.525,0.4924429
21,20,2.8999999,-275.0,51.1,0.48989794
22,21,0.6,-275.3,52.649998,0.5
23,22,-1.6750001,-275.4,53.2,0.47169906
24,14,-2.2,-273.05,37.475,0.33541018
25,24,-4.8500004,-273.15,38.125,0.35000002
26,25,-7.125,-273.42502,39.825,0.4555217
27,26,-8.7,-273.775,42.449997,0.41533118
28,27,-9.2,-274.2,45.5,0.4472136
29,28,-8.65,-274.65,48.525,0.4924429
30,29,-7.1000004,-275.0,51.1,0.48989794
31,30,-4.75,-275.3,52.649998,0.50990194
32,31,-2.25,-275.35,53.2,0.37416574
