segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.8750001,-3.7500002,-52.525,3.8405728
1,0,-1.9,-5.0,-53.05,0.53851646
2,1,-1.9,-7.8500004,-54.25,0.50990194
3,2,-2.05,-9.45,-54.350002,0.51961523
4,3,-3.2,-10.025,-54.925,0.51478153
5,4,-12.125,-10.225,-54.25,0.75828755
6,5,-21.1,-12.075,-48.75,0.820061
7,6,-25.675,-15.05,-40.0,0.78262377
8,7,-27.675,-18.175,-30.8,0.7516648
9,8,-25.675,-21.275,-21.65,0.8215838
10,9,-21.1,-24.275,-12.875,0.76485294
11,10,-12.125,-26.15,-7.4,0.71589106
12,11,-4.2,-26.35,-6.85,0.70710677
13,12,-2.2,-28.75,-7.9000006,0.728011
14,13,-1.15,-32.775,-9.8,0.72972596
15,14,-0.70000005,-41.800003,-14.200001,0.6
16,15,-0.70000005,-47.850002,-17.0,0.5744563
17,16,-0.70000005,-77.450005,-22.2,0.5744563
18,17,-0.70000005,-81.3,-22.9,0.56568545
19,18,-0.70000005,-98.1,-19.5,0.56568545
20,19,-0.70000005,-114.450005,-14.599999,0.5744563
21,20,-0.70000005,-127.049995,-9.4,0.5744563
22,21,-0.70000005,-131.0,-7.6,0.6
23,0,-1.85,-2.5,-52.0,0.67082036
24,23,-1.85,-2.55,-52.0,3.7762415
