segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.125,-263.675,40.05,2.8722813
18,0,4.1499996,-263.05002,39.3,0.46904156
19,18,4.1499996,-263.05002,38.850002,0.4358899
20,19,4.1,-263.94998,36.95,0.50990194
21,20,3.7,-265.4,30.75,0.5744563
22,21,3.5500002,-265.59998,29.800001,0.53851646
23,22,-1.0,-267.6,26.499998,0.6
24,23,-1.8,-268.95,27.5,0.53851646
25,24,-1.8,-271.25,30.5,0.53851646
26,25,-1.75,-272.825,35.95,0.55
27,26,-1.1,-273.05,37.575,0.39051247
28,27,0.65000004,-273.15,38.125,0.35000002
29,28,2.8999999,-273.42502,39.825,0.43011624
30,29,4.475,-273.775,42.449997,0.44158804
31,30,4.975,-274.2,45.5,0.42720017
32,31,4.4500003,-274.65,48.525,0.4924429
33,32,2.8999999,-275.0,51.1,0.48989794
34,33,0.6,-275.3,52.824997,0.5123476
35,34,-2.1,-275.35,53.399998,0.5
36,35,-4.8500004,-275.3,52.824997,0.33541018
37,36,-7.1000004,-275.0,51.1,0.34641016
38,37,-8.65,-274.65,48.525,0.42720017
39,38,-9.2,-274.2,45.5,0.4472136
40,39,-8.7,-273.775,42.449997,0.33541018
41,40,-7.125,-273.42502,39.825,0.4330127
42,41,-5.45,-273.15,38.575,0.40311286
1,0,4.1,-264.3,40.8,0.48989794
2,1,4.1,-264.59998,41.05,0.53851646
3,2,4.1,-266.5,42.5,0.56568545
4,3,4.125,-268.8,43.6,0.47169906
5,4,5.5,-274.3,45.4,0.56568545
6,5,6.0,-279.09998,47.0,0.56568545
7,6,7.4,-288.8,50.800003,0.56568545
8,7,7.9000006,-293.19998,52.100002,0.56568545
9,8,7.9000006,-296.6,52.8,0.56568545
10,9,7.5000005,-299.8,53.3,0.56568545
11,10,6.2,-304.6,54.100002,0.56568545
12,11,5.0,-320.15,56.0,0.5744563
13,12,3.1,-331.95,57.200005,0.5744563
14,13,2.3,-337.15,57.8,0.5744563
15,14,1.3000001,-342.8,58.600002,0.56568545
16,15,0.70000005,-348.6,58.899998,0.56568545
17,16,0.70000005,-349.44998,58.999996,0.5744563
