segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.375,-263.675,40.05,2.8722813
18,0,-8.349999,-263.05002,39.3,0.46904156
19,18,-8.349999,-263.05002,38.850002,0.4358899
20,19,-8.349999,-263.94998,36.95,0.4358899
21,20,-7.95,-265.4,30.75,0.50990194
22,21,-7.75,-265.59998,29.800001,0.53851646
23,22,-3.25,-267.6,26.499998,0.5744563
24,23,-2.45,-268.95,27.5,0.46904156
25,24,-2.45,-271.25,30.5,0.46904156
26,25,-2.5,-272.825,35.95,0.5024938
27,26,-3.1,-273.05,37.575,0.39051247
28,27,-4.875,-273.15,38.125,0.36742347
29,28,-7.1500006,-273.42502,39.825,0.36742347
30,29,-8.7,-273.775,42.449997,0.41533118
31,30,-9.25,-274.2,45.5,0.5
32,31,-8.675,-274.65,48.525,0.5244044
33,32,-7.1500006,-275.0,51.1,0.45825756
34,33,-4.8500004,-275.3,52.824997,0.48218253
35,34,-2.1,-275.35,53.399998,0.5
36,35,0.55,-275.3,52.824997,0.33541018
37,36,2.8999999,-275.0,51.1,0.34641016
38,37,4.4,-274.65,48.525,0.39051247
39,38,4.95,-274.2,45.5,0.36055514
40,39,4.425,-273.775,42.449997,0.36742347
41,40,2.875,-273.42502,39.825,0.4555217
42,41,1.2,-273.15,38.575,0.39051247
1,0,-8.4,-264.3,40.8,0.48989794
2,1,-8.4,-264.59998,41.05,0.53851646
3,2,-8.4,-266.5,42.5,0.56568545
4,3,-8.4,-268.8,43.6,0.56568545
5,4,-9.700001,-274.3,45.4,0.56568545
6,5,-10.3,-279.09998,47.0,0.56568545
7,6,-11.7,-288.8,50.800003,0.56568545
8,7,-12.1,-293.19998,52.100002,0.56568545
9,8,-12.1,-296.6,52.8,0.56568545
10,9,-11.8,-299.8,53.3,0.56568545
11,10,-10.400001,-304.6,54.100002,0.56568545
12,11,-9.2,-320.15,56.0,0.5744563
13,12,-7.2999997,-331.95,57.200005,0.5744563
14,13,-6.5,-337.15,57.8,0.5744563
15,14,-5.6000004,-342.8,58.600002,0.56568545
16,15,-4.9,-348.6,58.899998,0.56568545
17,16,-4.9,-349.44998,58.999996,0.5744563
