segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.7,-265.35,45.425,2.8178005
15,0,3.7,-266.05002,45.4,0.53851646
16,15,3.7,-266.55,44.95,0.50990194
17,16,5.7,-273.0,45.899998,0.56568545
18,17,6.3,-278.80002,47.5,0.56568545
19,18,7.4,-289.9,51.300003,0.56568545
20,19,7.9000006,-293.19998,52.100002,0.56568545
21,20,7.9000006,-296.6,52.8,0.56568545
22,21,7.5000005,-299.8,53.3,0.56568545
23,22,6.2,-304.6,54.100002,0.56568545
24,23,5.0,-320.15,56.0,0.5744563
25,24,3.1,-331.95,57.200005,0.5744563
26,25,2.3,-337.15,57.8,0.5744563
27,26,1.3000001,-342.8,58.600002,0.56568545
28,27,0.70000005,-348.6,58.899998,0.56568545
29,28,0.70000005,-349.44998,58.999996,0.5744563
1,0,3.7,-264.65002,45.45,0.5830952
2,1,3.7500002,-264.45,44.850002,0.4358899
3,2,3.7,-264.55,40.9,0.5
4,3,3.7,-265.4,30.75,0.5744563
5,4,3.5500002,-265.59998,29.800001,0.53851646
6,5,-1.0,-267.6,26.499998,0.6
7,6,-1.8,-268.95,27.5,0.53851646
8,7,-1.8,-271.25,30.5,0.53851646
9,8,-1.75,-272.84998,36.0,0.42426404
10,9,-1.15,-273.05,37.5,0.46904156
11,10,0.65000004,-273.15,38.125,0.35000002
12,11,2.8999999,-273.42502,39.825,0.43011624
13,12,4.475,-273.775,42.449997,0.44158804
14,13,4.975,-274.2,45.5,0.42720017
