segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.6499999,-263.7,46.875,2.6476405
1,0,2.6499999,-263.05002,46.95,0.65574384
2,1,2.6499999,-262.94998,46.2,0.42426404
3,2,2.85,-263.1,44.5,0.5
4,3,3.7,-263.7,38.05,0.5744563
5,4,3.7,-265.4,30.75,0.5744563
6,5,3.5500002,-265.59998,29.800001,0.53851646
7,6,-1.0,-267.6,26.499998,0.6
8,7,-1.8,-268.95,27.5,0.53851646
9,8,-1.8,-271.25,30.5,0.53851646
10,9,-1.75,-272.84998,36.0,0.42426404
11,10,-1.1,-273.05,37.575,0.5024938
12,11,0.65000004,-273.15,38.125,0.35000002
13,12,2.8999999,-273.42502,39.825,0.43011624
14,13,4.475,-273.775,42.449997,0.44158804
15,14,4.975,-274.2,45.5,0.42720017
16,15,4.4500003,-274.65,48.525,0.4924429
17,16,2.8999999,-275.0,51.1,0.48989794
18,17,0.6,-275.3,52.824997,0.5123476
19,18,-2.1,-275.35,53.399998,0.5
20,0,2.6499999,-264.35,46.8,0.46904156
21,20,2.6499999,-264.55,46.5,0.46904156
22,21,2.6499999,-265.15,45.75,0.4358899
23,22,3.225,-266.575,45.050003,0.39370042
24,23,4.3,-270.1,45.55,0.5
25,24,5.5,-274.2,46.55,0.5
26,25,6.0,-278.80002,47.5,0.56568545
27,26,7.4,-289.8,51.1,0.56568545
28,27,7.9000006,-293.19998,52.100002,0.56568545
29,28,7.9000006,-296.6,52.8,0.56568545
30,29,7.5000005,-299.8,53.3,0.56568545
31,30,6.2,-304.6,54.100002,0.56568545
32,31,5.0,-320.15,56.0,0.5744563
33,32,3.1,-331.95,57.200005,0.5744563
34,33,2.3,-337.15,57.8,0.5744563
35,34,1.3000001,-342.8,58.600002,0.56568545
36,35,0.70000005,-348.6,58.899998,0.56568545
37,36,0.70000005,-349.44998,58.999996,0.5744563
