segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-6.8999996,-263.7,46.875,2.7018511
19,0,-6.8999996,-263.05002,46.95,0.5830952
20,19,-6.8999996,-262.94998,46.2,0.5
21,20,-7.125,-263.1,44.5,0.60207975
22,21,-8.0,-263.7,38.05,0.5744563
23,22,-8.0,-265.4,30.75,0.5744563
24,23,-7.825,-265.59998,29.800001,0.5123476
25,24,-3.25,-267.6,26.499998,0.5744563
26,25,-2.5,-268.95,27.5,0.53851646
27,26,-2.5,-271.25,30.5,0.53851646
28,27,-2.55,-272.84998,36.0,0.42426404
29,28,-3.1750002,-273.05,37.575,0.5244044
30,29,-4.9,-273.15,38.125,0.39051247
31,30,-7.175,-273.42502,39.825,0.295804
32,31,-8.725,-273.775,42.449997,0.44158804
33,32,-9.25,-274.2,45.5,0.5
34,33,-8.7,-274.65,48.525,0.4387482
35,34,-7.2,-275.0,51.1,0.48989794
36,35,-4.8500004,-275.3,52.824997,0.48218253
37,36,-2.2,-275.35,53.399998,0.5
1,0,-6.8999996,-264.35,46.8,0.53851646
2,1,-6.8999996,-264.55,46.5,0.53851646
3,2,-6.95,-265.15,45.75,0.4358899
4,3,-7.4500003,-266.575,45.050003,0.42720017
5,4,-8.55,-270.1,45.55,0.42426404
6,5,-9.8,-274.2,46.55,0.5
7,6,-10.25,-278.80002,47.5,0.5
8,7,-11.7,-289.8,51.1,0.56568545
9,8,-12.2,-293.19998,52.100002,0.56568545
10,9,-12.2,-296.6,52.8,0.56568545
11,10,-11.8,-299.8,53.3,0.56568545
12,11,-10.400001,-304.6,54.100002,0.56568545
13,12,-9.3,-320.15,56.0,0.5744563
14,13,-7.2999997,-331.95,57.200005,0.5744563
15,14,-6.5,-337.15,57.8,0.5744563
16,15,-5.6000004,-342.8,58.600002,0.56568545
17,16,-5.0,-348.6,58.899998,0.56568545
18,17,-5.0,-349.44998,58.999996,0.5744563
