segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,2.9750001,-263.0,37.475,2.8999999
19,0,2.95,-263.5,36.95,0.70710677
20,19,3.0,-264.1,36.75,0.53851646
21,20,3.8,-264.85,34.15,0.50990194
22,21,3.7,-265.4,30.75,0.5744563
23,22,3.5500002,-265.59998,29.800001,0.53851646
24,23,-1.0,-267.6,26.499998,0.6
25,24,-1.8,-268.95,27.5,0.53851646
26,25,-1.8,-271.25,30.5,0.53851646
27,26,-1.75,-272.825,35.95,0.55
28,27,-1.2,-273.05,37.5,0.41231057
29,28,0.65000004,-273.15,38.125,0.35000002
30,29,2.8999999,-273.42502,39.825,0.43011624
31,30,4.475,-273.775,42.449997,0.44158804
32,31,4.975,-274.2,45.5,0.42720017
33,32,4.4500003,-274.65,48.525,0.4924429
34,33,2.8999999,-275.0,51.1,0.48989794
35,34,0.6,-275.3,52.824997,0.5123476
36,35,-2.1,-275.35,53.399998,0.5
1,0,3.0,-262.5,38.0,0.56568545
2,1,3.0,-262.75,38.4,0.53851646
3,2,3.0,-263.75,39.449997,0.50990194
4,3,3.0,-264.9,40.6,0.56568545
5,4,3.5,-268.19998,42.1,0.56568545
6,5,5.5,-273.9,44.800003,0.56568545
7,6,6.1,-279.0,47.2,0.56568545
8,7,7.4,-288.9,51.0,0.56568545
9,8,7.9000006,-293.19998,52.100002,0.56568545
10,9,7.9000006,-296.6,52.8,0.56568545
11,10,7.5000005,-299.8,53.3,0.56568545
12,11,6.2,-304.6,54.100002,0.56568545
13,12,5.0,-320.15,56.0,0.5744563
14,13,3.1,-331.95,57.200005,0.5744563
15,14,2.3,-337.15,57.8,0.5744563
16,15,1.3000001,-342.8,58.600002,0.56568545
17,16,0.70000005,-348.6,58.899998,0.56568545
18,17,0.70000005,-349.44998,58.999996,0.5744563
