segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.0,-268.025,46.399998,2.8178005
17,0,-8.0,-267.35,46.35,0.5830952
18,17,-8.0,-266.59998,44.850002,0.5744563
19,18,-8.0,-265.59998,41.100002,0.56568545
20,19,-8.0,-265.4,30.75,0.5744563
21,20,-7.825,-265.59998,29.800001,0.5123476
22,21,-3.25,-267.6,26.499998,0.5744563
23,22,-2.5,-268.95,27.5,0.53851646
24,23,-2.5,-271.25,30.5,0.53851646
25,24,-2.55,-272.825,35.95,0.55
26,25,-3.1,-273.05,37.5,0.41231057
27,26,-4.9,-273.15,38.125,0.39051247
28,27,-7.175,-273.42502,39.825,0.295804
29,28,-8.725,-273.775,42.449997,0.44158804
30,29,-9.25,-274.2,45.5,0.5
31,30,-8.7,-274.65,48.525,0.4387482
32,31,-7.2,-275.0,51.1,0.48989794
33,32,-4.8500004,-275.3,52.824997,0.48218253
34,33,-2.2,-275.35,53.399998,0.5
1,0,-8.0,-268.7,46.45,0.53851646
2,1,-8.0,-269.35,45.899998,0.5744563
3,2,-8.4,-270.30002,45.55,0.5
4,3,-9.9,-274.1,46.25,0.5
5,4,-10.75,-278.9,47.1,0.5
6,5,-11.7,-288.875,51.0,0.5678908
7,6,-12.2,-293.19998,52.100002,0.56568545
8,7,-12.2,-296.6,52.8,0.56568545
9,8,-11.8,-299.8,53.3,0.56568545
10,9,-10.400001,-304.6,54.100002,0.56568545
11,10,-9.3,-320.15,56.0,0.5744563
12,11,-7.2999997,-331.95,57.200005,0.5744563
13,12,-6.5,-337.15,57.8,0.5744563
14,13,-5.6000004,-342.8,58.600002,0.56568545
15,14,-5.0,-348.6,58.899998,0.56568545
16,15,-5.0,-349.44998,58.999996,0.5744563
