segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.5,-263.975,37.475,2.1118712
13,0,4.5,-263.7,36.649998,0.5744563
14,13,4.5499997,-263.94998,35.45,0.4358899
15,14,3.9500003,-264.65002,32.9,0.42426404
16,15,3.9500003,-265.30002,30.300001,0.41231057
17,16,2.35,-266.0,28.9,0.45825756
18,17,-1.0,-267.55,26.449999,0.46904156
19,18,-1.35,-268.0,26.4,0.45825756
20,19,-1.75,-268.975,27.25,0.47169906
21,20,-1.75,-269.75,28.075,0.42720017
22,21,-1.85,-271.19998,30.475,0.3640055
23,22,-1.85,-272.725,35.9,0.39051247
24,23,-1.1,-273.075,37.55,0.4387482
25,24,0.70000005,-273.175,38.15,0.33541018
26,25,2.775,-273.475,39.774998,0.4330127
27,26,4.4500003,-273.85,42.375,0.45
28,27,5.0,-274.32498,45.475,0.43011624
29,28,4.4500003,-274.725,48.45,0.47169906
30,29,3.025,-274.95,50.925,0.39370042
31,30,0.775,-275.25,52.649998,0.42720017
32,31,-1.8249999,-275.35,53.250004,0.42720017
33,32,-1.95,-275.35,53.250004,0.4358899
1,0,4.5,-264.25,38.3,0.53851646
2,1,4.5,-264.85,38.9,0.3
3,2,5.65,-278.85,47.1,0.37416574
4,3,5.65,-279.05,47.2,0.37416574
5,4,7.25,-288.7,51.0,0.36055514
6,5,7.35,-289.0,51.050003,0.42426404
7,6,7.9000006,-294.30002,52.45,0.36055514
8,7,7.9000006,-294.55,52.499996,0.3
9,8,7.35,-301.9,53.899998,0.36055514
10,9,7.35,-302.2,53.95,0.42426404
11,10,6.05,-311.4,54.85,0.42426404
12,11,6.05,-311.5,54.85,0.42426404
