segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.8,-263.975,37.475,2.1118712
1,0,-8.8,-263.7,36.649998,0.5744563
2,1,-8.75,-263.94998,35.45,0.4358899
3,2,-8.25,-264.65002,32.9,0.42426404
4,3,-8.25,-265.30002,30.300001,0.41231057
5,4,-6.65,-266.0,28.9,0.45825756
6,5,-3.2749999,-267.55,26.449999,0.45
7,6,-2.95,-268.0,26.4,0.45825756
8,7,-2.55,-268.975,27.25,0.47169906
9,8,-2.55,-269.75,28.075,0.42720017
10,9,-2.45,-271.19998,30.475,0.3640055
11,10,-2.45,-272.725,35.9,0.39051247
12,11,-3.15,-273.075,37.55,0.40311286
13,12,-4.95,-273.175,38.15,0.40311286
14,13,-7.075,-273.475,39.774998,0.4330127
15,14,-8.675,-273.85,42.375,0.36742347
16,15,-9.3,-274.32498,45.475,0.43011624
17,16,-8.675,-274.725,48.45,0.48476797
18,17,-7.2999997,-274.95,50.925,0.39051247
19,18,-5.05,-275.25,52.649998,0.4358899
20,19,-2.45,-275.35,53.250004,0.4358899
21,20,-2.3,-275.35,53.250004,0.42426404
22,0,-8.8,-264.25,38.3,0.53851646
23,22,-8.8,-264.85,38.9,0.3
24,23,-9.95,-278.85,47.1,0.37416574
25,24,-9.95,-279.05,47.2,0.37416574
26,25,-11.55,-288.7,51.0,0.36055514
27,26,-11.599999,-289.0,51.050003,0.36055514
28,27,-12.15,-294.30002,52.45,0.42426404
29,28,-12.15,-294.55,52.499996,0.37416574
30,29,-11.65,-301.9,53.899998,0.36055514
31,30,-11.65,-302.2,53.95,0.42426404
32,31,-10.3,-311.4,54.85,0.36055514
33,32,-10.3,-311.5,54.85,0.36055514
