segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-3.5,-271.5,37.983,1.8493242
16,0,-1.5,-270.05,32.75,0.50990194
17,16,-2.45,-263.45,28.650002,0.4358899
18,17,-1.4499999,-247.90001,17.35,0.42426404
19,18,-1.4499999,-243.35,14.55,0.4358899
20,19,-1.4499999,-214.94998,-5.25,0.4358899
21,20,-1.4499999,-210.2,-8.4,0.5
22,21,-1.4499999,-167.6,-37.6,0.5
23,22,-1.4499999,-162.85,-40.05,0.4358899
24,23,-1.4499999,-135.45001,-53.95,0.4358899
25,24,-1.4499999,-118.49999,-60.2,0.5
26,25,-1.4499999,-102.35,-64.0,0.50990194
27,26,-1.4499999,-84.15,-66.649994,0.4358899
28,27,-1.4499999,-53.3,-67.049995,0.42426404
29,28,-1.4499999,-47.15,-65.85,0.4358899
30,29,-1.4499999,-3.4499998,-53.250004,0.4358899
31,30,-1.4499999,3.7500002,-50.050003,0.4358899
32,31,-1.4499999,32.2,-35.350002,0.42426404
33,32,-4.35,36.1,-30.55,0.46904156
34,33,-10.625,42.05,-24.449999,0.55
35,34,-13.349999,47.600002,-19.875,0.4387482
36,35,-13.45,56.199997,-14.45,0.42426404
37,36,-10.375,61.85,-12.65,0.45
38,37,-5.85,65.525,-10.75,0.45
39,38,-2.2,69.5,-11.85,0.41231057
40,39,-1.85,77.8,-6.3500004,0.42426404
41,40,-1.4499999,84.75,-2.0,0.50990194
42,41,-1.4499999,89.3,-0.5,0.5
43,42,-1.4499999,116.2,4.4500003,0.42426404
44,43,-1.4499999,125.100006,4.4500003,0.42426404
45,44,-1.4499999,167.6,2.25,0.42426404
46,45,-1.4499999,174.65,1.05,0.4358899
47,46,-1.4499999,249.09999,-20.25,0.42426404
48,47,-1.4499999,256.3,-21.5,0.5
49,48,-1.4499999,283.3,-25.0,0.5
50,49,-1.4499999,289.19998,-25.5,0.5
51,50,-1.4499999,317.6,-26.499998,0.5
52,51,-1.4499999,322.8,-26.050001,0.42426404
53,52,-1.4499999,350.75,-23.0,0.50990194
54,53,-1.4499999,355.35,-21.449999,0.4358899
55,54,-1.4499999,386.1,-8.2,0.5
56,55,-1.4499999,396.95,-2.6000001,0.50990194
9,0,0.70000005,-273.2,38.05,0.5
10,9,3.075,-273.42502,39.825,0.295804
11,10,4.625,-273.775,42.449997,0.44158804
12,11,5.15,-274.2,45.5,0.5
13,12,4.6,-274.65,48.525,0.4387482
14,13,3.1,-275.0,51.1,0.48989794
15,14,0.75,-275.3,52.824997,0.48218253
1,0,-9.700001,-271.25,43.149998,0.50990194
2,1,-9.75,-272.15,43.625,0.40311286
3,2,-9.75,-273.9,44.4,0.41231057
4,3,-9.475,-274.2,45.5,0.32015622
5,4,-8.5,-274.65,48.525,0.4387482
6,5,-6.95,-275.0,51.1,0.45825756
7,6,-4.65,-275.3,52.824997,0.48218253
8,7,-1.9,-275.35,53.399998,0.5
