segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.581,-269.794,37.863003,2.828427
18,0,-3.05,-270.15,32.875,0.4924429
19,18,-3.1750002,-267.15,30.899998,0.48218253
20,19,-2.1,-253.34999,21.975,0.33541018
21,20,-1.4499999,-243.35,14.55,0.4358899
22,21,-1.4499999,-214.94998,-5.25,0.4358899
23,22,-1.4499999,-210.2,-8.4,0.5
24,23,-1.4499999,-167.6,-37.6,0.5
25,24,-1.4499999,-162.85,-40.05,0.4358899
26,25,-1.4499999,-135.45001,-53.95,0.4358899
27,26,-1.4499999,-118.49999,-60.2,0.5
28,27,-1.4499999,-102.35,-64.0,0.50990194
29,28,-1.4499999,-84.15,-66.649994,0.4358899
30,29,-1.4499999,-53.3,-67.049995,0.42426404
31,30,-1.4499999,-47.15,-65.85,0.4358899
32,31,-1.4499999,-3.4499998,-53.250004,0.4358899
33,32,-1.4499999,3.7500002,-50.050003,0.4358899
34,33,-1.4499999,32.2,-35.350002,0.42426404
35,34,-4.35,36.1,-30.55,0.46904156
36,35,-10.625,42.05,-24.449999,0.55
37,36,-13.349999,47.600002,-19.875,0.4387482
38,37,-13.45,56.199997,-14.45,0.42426404
39,38,-10.375,61.85,-12.65,0.45
40,39,-5.85,65.525,-10.75,0.45
41,40,-2.2,69.5,-11.85,0.41231057
42,41,-1.85,77.8,-6.3500004,0.42426404
43,42,-1.4499999,84.75,-2.0,0.50990194
44,43,-1.4499999,89.3,-0.5,0.5
45,44,-1.4499999,116.2,4.4500003,0.42426404
46,45,-1.4499999,125.100006,4.4500003,0.42426404
47,46,-1.4499999,167.6,2.25,0.42426404
48,47,-1.4499999,174.65,1.05,0.4358899
49,48,-1.4499999,249.09999,-20.25,0.42426404
50,49,-1.4499999,256.3,-21.5,0.5
51,50,-1.4499999,283.3,-25.0,0.5
52,51,-1.4499999,289.19998,-25.5,0.5
53,52,-1.4499999,317.6,-26.499998,0.5
54,53,-1.4499999,322.8,-26.050001,0.42426404
55,54,-1.4499999,350.75,-23.0,0.50990194
56,55,-1.4499999,355.35,-21.449999,0.4358899
57,56,-1.4499999,386.1,-8.2,0.5
58,57,-1.4499999,396.95,-2.6000001,0.50990194
59,0,0.5,-272.15,37.149998,0.46904156
60,59,2.75,-273.42502,39.825,0.36742347
61,60,4.325,-273.775,42.449997,0.44158804
62,61,4.8500004,-274.2,45.5,0.5
63,62,4.3,-274.65,48.525,0.4387482
64,63,2.8000002,-275.0,51.1,0.48989794
65,64,0.45,-275.3,52.824997,0.48218253
1,0,-8.5,-263.45,41.600002,0.5
2,1,-8.299999,-264.15,40.149998,0.50990194
3,2,-8.0,-265.45,36.55,0.50990194
4,3,-8.2,-265.75,29.85,0.46904156
5,4,-4.1,-267.15,26.475,0.5024938
6,5,-2.6000001,-267.85,26.35,0.50990194
7,6,-2.475,-268.7,27.1,0.3774917
8,7,-2.325,-271.15,30.5,0.5024938
9,8,-2.575,-272.575,35.925,0.5722762
10,9,-4.95,-273.15,38.125,0.40311286
11,0,-7.275,-273.42502,39.825,0.4555217
12,11,-8.825,-273.775,42.449997,0.44158804
13,12,-9.35,-274.2,45.5,0.5
14,13,-8.8,-274.65,48.525,0.4387482
15,14,-7.2999997,-275.0,51.1,0.48989794
16,15,-4.95,-275.3,52.824997,0.48218253
17,16,-2.3,-275.35,53.399998,0.5
