segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.4,-269.35,40.65,1.5297059
1,0,-8.349999,-269.35,40.7,0.37416574
2,1,-8.45,-269.65,41.25,0.4358899
3,2,-9.15,-270.19998,45.55,0.37416574
4,3,-8.349999,-270.8,50.075,0.39051247
5,4,-3.9500003,-272.075,52.55,0.40311286
6,5,-3.675,-272.525,52.55,0.39370042
7,6,-3.675,-274.9,53.375,0.43011624
8,7,-3.1,-275.35,53.399998,0.36055514
9,8,-0.8,-275.3,52.824997,0.3774917
10,9,1.5,-275.0,51.1,0.34641016
11,10,3.05,-274.65,48.525,0.42720017
12,11,3.6,-274.2,45.5,0.4472136
13,12,3.075,-273.775,42.449997,0.44158804
14,13,1.525,-273.42502,39.825,0.4330127
15,14,-0.75,-272.32498,37.575,0.44158804
16,15,-3.3500001,-271.35,35.8,0.46904156
17,16,-3.6499999,-266.8,24.95,0.42426404
18,17,-1.4499999,-247.90001,17.35,0.42426404
19,18,-1.4499999,-243.35,14.55,0.4358899
20,19,-1.4499999,-214.94998,-5.25,0.4358899
21,20,-1.4499999,-210.2,-8.4,0.5
22,21,-1.4499999,-167.6,-37.6,0.5
23,22,-1.4499999,-162.85,-40.05,0.4358899
24,23,-1.4499999,-135.45001,-53.95,0.4358899
25,24,-1.4499999,-118.49999,-60.2,0.5
26,25,-1.4499999,-102.35,-64.0,0.50990194
27,26,-1.4499999,-84.15,-66.649994,0.4358899
28,27,-1.4499999,-53.3,-67.049995,0.42426404
29,28,-1.4499999,-47.15,-65.85,0.4358899
30,29,-1.4499999,-3.4499998,-53.250004,0.4358899
31,30,-1.4499999,3.7500002,-50.050003,0.4358899
32,31,-1.4499999,28.25,-36.85,0.4358899
33,32,-1.4499999,29.499998,-36.05,0.46904156
