segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.2,-264.9,47.55,3.0413811
1,0,0.35000002,-265.0,47.55,0.9899495
2,1,1.85,-266.19998,46.45,0.46904156
3,2,3.85,-268.25,45.95,0.4358899
4,3,3.9500003,-270.7,46.825,0.39051247
5,4,4.0750003,-274.1,48.575,0.49497476
6,5,2.5,-275.0,51.1,0.48989794
7,6,0.25,-275.3,52.824997,0.48218253
8,7,-2.5,-275.35,53.399998,0.5
9,8,-5.15,-275.3,52.824997,0.33541018
10,9,-7.5000005,-275.0,51.1,0.34641016
11,10,-9.025,-274.65,48.525,0.36742347
12,11,-9.55,-274.2,45.5,0.36055514
13,12,-9.075,-273.775,42.449997,0.44158804
14,13,-7.475,-273.42502,39.825,0.4555217
15,14,-5.2250004,-273.15,38.125,0.46368092
16,15,-2.6499999,-271.84998,34.75,0.4358899
17,16,-1.9,-270.1,31.25,0.53851646
18,17,-1.9,-266.1,27.7,0.6
19,18,-1.5,-248.05,17.45,0.50990194
20,19,-1.4499999,-243.35,14.55,0.4358899
21,20,-1.4499999,-214.94998,-5.25,0.4358899
22,21,-1.4499999,-210.2,-8.4,0.5
23,22,-1.4499999,-167.6,-37.6,0.5
24,23,-1.4499999,-162.85,-40.05,0.4358899
25,24,-1.4499999,-135.45001,-53.95,0.4358899
26,25,-1.4499999,-118.49999,-60.2,0.5
27,26,-1.4499999,-102.35,-64.0,0.50990194
28,27,-1.4499999,-84.15,-66.649994,0.4358899
29,28,-1.4499999,-53.3,-67.049995,0.42426404
30,29,-1.4499999,-47.15,-65.85,0.4358899
31,30,-1.4499999,-3.4499998,-53.250004,0.4358899
32,31,-1.4499999,3.7500002,-50.050003,0.4358899
33,32,-1.4499999,32.2,-35.350002,0.42426404
34,33,-4.35,36.1,-30.55,0.46904156
35,34,-10.625,42.05,-24.449999,0.55
36,35,-13.349999,47.600002,-19.875,0.4387482
37,36,-13.45,56.199997,-14.45,0.42426404
38,37,-10.375,61.85,-12.65,0.45
39,38,-5.85,65.525,-10.75,0.45
40,39,-2.2,69.5,-11.85,0.41231057
41,40,-1.85,77.8,-6.3500004,0.42426404
42,41,-1.4499999,84.75,-2.0,0.50990194
43,42,-1.4499999,89.3,-0.5,0.5
44,43,-1.4499999,116.2,4.4500003,0.42426404
45,44,-1.4499999,125.100006,4.4500003,0.42426404
46,45,-1.4499999,167.6,2.25,0.42426404
47,46,-1.4499999,174.65,1.05,0.4358899
48,47,-1.4499999,249.09999,-20.25,0.42426404
49,48,-1.4499999,256.3,-21.5,0.5
50,49,-1.4499999,283.3,-25.0,0.5
51,50,-1.4499999,289.19998,-25.5,0.5
52,51,-1.4499999,317.6,-26.499998,0.5
53,52,-1.4499999,322.8,-26.050001,0.42426404
54,53,-1.4499999,350.75,-23.0,0.50990194
55,54,-1.4499999,355.35,-21.449999,0.4358899
56,55,-1.4499999,386.1,-8.2,0.5
57,56,-1.4499999,396.95,-2.6000001,0.50990194
