segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.583,-246.95001,19.0,2.6870058
26,0,-1.4499999,-243.35,14.55,0.4358899
27,26,-1.4499999,-214.94998,-5.25,0.4358899
28,27,-1.4499999,-210.2,-8.4,0.5
29,28,-1.4499999,-167.6,-37.6,0.5
30,29,-1.4499999,-162.85,-40.05,0.4358899
31,30,-1.4499999,-135.45001,-53.95,0.4358899
32,31,-1.4499999,-118.49999,-60.2,0.5
33,32,-1.4499999,-102.35,-64.0,0.50990194
34,33,-1.4499999,-84.15,-66.649994,0.4358899
35,34,-1.4499999,-53.3,-67.049995,0.42426404
36,35,-1.4499999,-47.15,-65.85,0.4358899
37,36,-1.4499999,-3.4499998,-53.250004,0.4358899
38,37,-1.4499999,3.7500002,-50.050003,0.4358899
39,38,-1.4499999,32.2,-35.350002,0.42426404
40,39,-4.35,36.1,-30.55,0.46904156
41,40,-10.625,42.05,-24.449999,0.55
42,41,-13.349999,47.600002,-19.875,0.4387482
43,42,-13.45,56.199997,-14.45,0.42426404
44,43,-10.375,61.85,-12.65,0.45
45,44,-5.85,65.525,-10.75,0.45
46,45,-2.2,69.5,-11.85,0.41231057
47,46,-1.85,77.8,-6.3500004,0.42426404
48,47,-1.4499999,84.75,-2.0,0.50990194
49,48,-1.4499999,89.3,-0.5,0.5
50,49,-1.4499999,116.2,4.4500003,0.42426404
51,50,-1.4499999,125.100006,4.4500003,0.42426404
52,51,-1.4499999,167.6,2.25,0.42426404
53,52,-1.4499999,174.65,1.05,0.4358899
54,53,-1.4499999,249.09999,-20.25,0.42426404
55,54,-1.4499999,256.3,-21.5,0.5
56,55,-1.4499999,283.3,-25.0,0.5
57,56,-1.4499999,289.19998,-25.5,0.5
58,57,-1.4499999,317.6,-26.499998,0.5
59,58,-1.4499999,322.8,-26.050001,0.42426404
60,59,-1.4499999,350.75,-23.0,0.50990194
61,60,-1.4499999,355.35,-21.449999,0.4358899
62,61,-1.4499999,386.1,-8.2,0.5
63,62,-1.4499999,396.95,-2.6000001,0.50990194
16,0,-1.4499999,-247.90001,17.35,0.42426404
17,16,-1.65,-267.5,25.25,0.42426404
18,17,-1.55,-271.65,29.550001,0.4358899
19,18,0.70000005,-273.15,36.199997,0.41231057
20,19,2.9750001,-273.42502,39.825,0.295804
21,20,4.575,-273.775,42.449997,0.44158804
22,21,5.05,-274.2,45.5,0.5
23,22,4.5249996,-274.65,48.525,0.46368092
24,23,3.0,-275.0,51.1,0.48989794
25,24,0.65000004,-275.3,52.824997,0.48218253
1,0,-10.849999,-249.6,25.099998,0.64031243
2,1,-10.849999,-250.3,24.15,0.46904156
3,2,-10.849999,-251.55,23.15,0.4358899
4,3,-10.849999,-252.90001,22.949999,0.46904156
5,4,-9.4,-257.35,25.375,0.26925823
6,5,-4.5,-272.0,33.575,0.3774917
7,6,-4.5249996,-272.625,34.625,0.35707143
8,7,-5.4,-273.05,36.725,0.3640055
9,8,-7.05,-273.42502,39.825,0.36742347
10,9,-8.6,-273.775,42.449997,0.41533118
11,10,-9.125,-274.2,45.5,0.47169906
12,11,-8.575,-274.65,48.525,0.5244044
13,12,-7.0,-275.0,51.1,0.48989794
14,13,-4.75,-275.3,52.824997,0.48218253
15,14,-2.0,-275.35,53.399998,0.5
