segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-7.5000005,-263.45,36.35,3.408812
1,0,-7.4500003,-263.5,36.35,0.46904156
2,1,-7.2999997,-263.85,36.199997,0.3
3,2,-7.1000004,-264.15,36.1,0.3
4,3,-4.95,-265.35,36.199997,0.24494897
5,4,-2.575,-268.05,36.25,0.28722814
6,5,-0.4,-271.225,37.0,0.3774917
7,6,0.32500002,-273.0,37.8,0.32015622
8,7,0.70000005,-273.175,38.0,0.40311286
9,8,2.8999999,-273.42502,39.825,0.40620193
10,9,4.475,-273.775,42.449997,0.44158804
11,10,4.975,-274.2,45.5,0.42720017
12,11,4.4500003,-274.65,48.525,0.4924429
13,12,2.8999999,-275.0,51.1,0.48989794
14,13,0.6,-275.3,52.824997,0.5123476
15,14,-2.1,-275.35,53.399998,0.5
16,15,-4.8500004,-275.3,52.824997,0.33541018
17,16,-7.1000004,-275.0,51.1,0.34641016
18,17,-8.65,-274.65,48.525,0.42720017
19,18,-9.2,-274.2,45.5,0.4472136
20,19,-8.7,-273.775,42.449997,0.33541018
21,20,-7.125,-273.42502,39.825,0.4330127
22,21,-4.8500004,-273.15,38.125,0.47169906
23,22,-3.4,-272.95,36.399998,0.36055514
24,23,-1.95,-271.90002,32.25,0.50990194
25,24,-1.95,-268.5,26.65,0.46904156
26,25,-1.4499999,-247.90001,17.35,0.42426404
27,26,-1.4499999,-243.35,14.55,0.4358899
28,27,-1.4499999,-214.94998,-5.25,0.4358899
29,28,-1.4499999,-210.2,-8.4,0.5
30,29,-1.4499999,-167.6,-37.6,0.5
31,30,-1.4499999,-162.85,-40.05,0.4358899
32,31,-1.4499999,-135.45001,-53.95,0.4358899
33,32,-1.4499999,-118.49999,-60.2,0.5
34,33,-1.4499999,-102.35,-64.0,0.50990194
35,34,-1.4499999,-84.15,-66.649994,0.4358899
36,35,-1.4499999,-53.3,-67.049995,0.42426404
37,36,-1.4499999,-47.15,-65.85,0.4358899
38,37,-1.4499999,-3.4499998,-53.250004,0.4358899
39,38,-1.4499999,3.7500002,-50.050003,0.4358899
40,39,-1.4499999,32.2,-35.350002,0.42426404
41,40,-4.35,36.1,-30.55,0.46904156
42,41,-10.625,42.05,-24.449999,0.55
43,42,-13.349999,47.600002,-19.875,0.4387482
44,43,-13.45,56.199997,-14.45,0.42426404
45,44,-10.375,61.85,-12.65,0.45
46,45,-5.85,65.525,-10.75,0.45
47,46,-2.2,69.5,-11.85,0.41231057
48,47,-1.85,77.8,-6.3500004,0.42426404
49,48,-1.4499999,84.75,-2.0,0.50990194
50,49,-1.4499999,89.3,-0.5,0.5
51,50,-1.4499999,116.2,4.4500003,0.42426404
52,51,-1.4499999,125.100006,4.4500003,0.42426404
53,52,-1.4499999,167.6,2.25,0.42426404
54,53,-1.4499999,174.65,1.05,0.4358899
55,54,-1.4499999,249.09999,-20.25,0.42426404
56,55,-1.4499999,256.3,-21.5,0.5
57,56,-1.4499999,283.3,-25.0,0.5
58,57,-1.4499999,289.19998,-25.5,0.5
59,58,-1.4499999,317.6,-26.499998,0.5
60,59,-1.4499999,322.8,-26.050001,0.42426404
61,60,-1.4499999,350.75,-23.0,0.50990194
62,61,-1.4499999,355.35,-21.449999,0.4358899
63,62,-1.4499999,386.1,-8.2,0.5
64,63,-1.4499999,396.95,-2.6000001,0.50990194
