segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-20.5,-55.65,-44.600002,5.162364
1,0,-20.4,-55.65,-44.600002,0.9219544
2,1,-20.4,-55.699997,-45.8,0.8485281
3,2,-20.4,-55.1,-52.45,0.9
4,3,-16.65,-54.55,-59.600002,0.96953595
5,4,-10.0,-54.100002,-64.8,0.8717798
6,5,-5.7999997,-56.050003,-66.9,0.8774964
7,6,-1.55,-59.899998,-66.85,0.70710677
8,7,-1.525,-66.2,-66.75,0.7433034
9,8,-1.4499999,-84.15,-66.649994,0.4358899
10,9,-1.4499999,-102.35,-64.0,0.50990194
11,10,-1.4499999,-118.49999,-60.2,0.5
12,11,-1.4499999,-135.45001,-53.95,0.4358899
13,12,-1.4499999,-162.85,-40.05,0.4358899
14,13,-1.4499999,-167.6,-37.6,0.5
15,14,-1.4499999,-210.2,-8.4,0.5
16,15,-1.4499999,-214.94998,-5.25,0.4358899
17,16,-1.4499999,-243.35,14.55,0.4358899
18,17,-1.4499999,-247.90001,17.35,0.42426404
19,18,-1.55,-270.15,25.55,0.4358899
20,19,-1.55,-270.30002,25.85,0.5830952
21,20,-1.575,-270.05,26.15,0.4924429
22,21,-1.575,-268.65,26.249998,0.35000002
23,22,-1.575,-266.95,27.000002,0.39051247
24,23,-1.575,-266.5,30.5,0.42720017
25,24,-1.575,-266.30002,35.350002,0.4387482
26,25,-1.575,-266.65002,36.199997,0.39051247
27,26,-1.575,-267.45,36.6,0.4387482
28,27,-1.575,-268.19998,36.75,0.33541018
29,28,-1.7,-268.375,36.825,0.5700877
30,29,-1.95,-268.5,36.8,0.3
31,30,-4.75,-268.8,37.35,0.24494897
32,31,-6.6,-269.625,38.600002,0.45
33,32,-6.8999996,-269.7,38.800003,0.34641016
34,28,-1.4499999,-268.375,36.825,0.39370042
35,34,-1.15,-268.525,36.8,0.33541018
36,35,0.72499996,-268.77502,37.4,0.43011624
37,36,2.75,-269.7,38.7,0.41231057
38,37,3.0,-269.8,38.850002,0.3
39,19,-1.55,-270.6,25.85,0.46904156
40,39,-1.55,-292.95,35.350002,0.4358899
41,40,-1.55,-315.05002,43.55,0.4358899
42,41,-1.55,-317.35,44.4,0.50990194
