segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.75,-266.225,43.1,2.523886
17,0,-9.75,-265.59998,43.1,0.41231057
18,17,-9.75,-265.35,42.649998,0.4358899
19,18,-9.825,-265.05002,39.5,0.5408327
20,19,-8.349999,-265.4,30.4,0.53851646
21,20,-7.825,-265.59998,29.800001,0.5123476
22,21,-3.25,-267.6,26.499998,0.5744563
23,22,-2.5,-268.95,27.5,0.53851646
24,23,-2.5,-271.25,30.5,0.53851646
25,24,-2.525,-272.84998,36.0,0.33541018
26,25,-3.2749999,-273.05,37.3,0.4387482
27,26,-4.9,-273.15,38.125,0.39051247
28,27,-7.175,-273.42502,39.825,0.295804
29,28,-8.725,-273.775,42.449997,0.44158804
30,29,-9.25,-274.2,45.5,0.5
31,30,-8.7,-274.65,48.525,0.4387482
32,31,-7.2,-275.0,51.1,0.48989794
33,32,-4.8500004,-275.3,52.824997,0.48218253
34,33,-2.2,-275.35,53.399998,0.5
1,0,-9.75,-266.85,43.1,0.46904156
2,1,-9.75,-267.4,42.899998,0.5
3,2,-9.75,-269.7,43.45,0.42426404
4,3,-9.75,-274.6,45.050003,0.42426404
5,4,-9.8,-280.3,47.4,0.56568545
6,5,-11.7,-289.8,51.1,0.56568545
7,6,-12.2,-293.19998,52.100002,0.56568545
8,7,-12.2,-296.6,52.8,0.56568545
9,8,-11.8,-299.8,53.3,0.56568545
10,9,-10.400001,-304.6,54.100002,0.56568545
11,10,-9.3,-320.15,56.0,0.5744563
12,11,-7.2999997,-331.95,57.200005,0.5744563
13,12,-6.5,-337.15,57.8,0.5744563
14,13,-5.6000004,-342.8,58.600002,0.56568545
15,14,-5.0,-348.6,58.899998,0.56568545
16,15,-5.0,-349.44998,58.999996,0.5744563
