segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,3.8,-267.95,38.95,2.7676706
17,0,3.8,-267.5,38.100002,0.6
18,17,3.85,-267.25,37.3,0.46904156
19,18,3.9,-266.35,34.0,0.5
20,19,3.85,-265.55,30.25,0.4358899
21,20,2.6499999,-266.1,28.85,0.50990194
22,21,-1.05,-267.575,26.4,0.5408327
23,22,-1.85,-268.30002,26.499998,0.41231057
24,23,-1.85,-271.35,30.4,0.46904156
25,24,-1.85,-272.75,36.0,0.42426404
26,25,-1.1,-273.05,37.6,0.41231057
27,26,0.65000004,-273.15,38.125,0.35000002
28,27,2.8999999,-273.42502,39.825,0.43011624
29,28,4.475,-273.775,42.449997,0.44158804
30,29,4.975,-274.2,45.5,0.42720017
31,30,4.4500003,-274.65,48.525,0.4924429
32,31,2.8999999,-275.0,51.1,0.48989794
33,32,0.6,-275.3,52.824997,0.5123476
34,33,-2.1,-275.35,53.399998,0.5
35,34,-4.8500004,-275.3,52.824997,0.33541018
36,35,-7.1000004,-275.0,51.1,0.34641016
37,36,-8.65,-274.65,48.525,0.42720017
1,0,3.8,-268.4,39.8,0.6
2,1,3.85,-268.9,40.149998,0.46904156
3,2,5.25,-271.8,41.55,0.46904156
4,3,6.0,-278.4,46.9,0.56568545
5,4,6.0,-282.55,48.45,0.50990194
6,5,7.4,-289.05002,51.050003,0.50990194
7,6,7.9000006,-293.19998,52.100002,0.56568545
8,7,7.9000006,-296.6,52.8,0.56568545
9,8,7.5000005,-299.8,53.3,0.56568545
10,9,6.2,-304.6,54.100002,0.56568545
11,10,5.0,-320.15,56.0,0.5744563
12,11,3.1,-331.95,57.200005,0.5744563
13,12,2.3,-337.15,57.8,0.5744563
14,13,1.3000001,-342.8,58.600002,0.56568545
15,14,0.70000005,-348.6,58.899998,0.56568545
16,15,0.70000005,-349.44998,58.999996,0.5744563
