segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-8.1,-267.95,38.95,2.8372521
17,0,-8.1,-267.5,38.100002,0.6
18,17,-8.05,-267.25,37.3,0.46904156
19,18,-8.150001,-266.35,34.0,0.42426404
20,19,-8.05,-265.55,30.25,0.4358899
21,20,-6.95,-266.1,28.85,0.50990194
22,21,-3.225,-267.575,26.4,0.6204837
23,22,-2.35,-268.30002,26.499998,0.41231057
24,23,-2.35,-271.35,30.4,0.46904156
25,24,-2.4250002,-272.75,36.0,0.39051247
26,25,-3.1,-273.05,37.6,0.41231057
27,26,-4.8500004,-273.15,38.125,0.35000002
28,27,-7.125,-273.42502,39.825,0.4555217
29,28,-8.7,-273.775,42.449997,0.41533118
30,29,-9.224999,-274.2,45.5,0.47169906
31,30,-8.675,-274.65,48.525,0.5244044
32,31,-7.1000004,-275.0,51.1,0.48989794
33,32,-4.8500004,-275.3,52.824997,0.48218253
34,33,-2.1,-275.35,53.399998,0.5
35,34,0.55,-275.3,52.824997,0.33541018
36,35,2.8999999,-275.0,51.1,0.34641016
37,36,4.425,-274.65,48.525,0.36742347
1,0,-8.1,-268.4,39.8,0.6
2,1,-8.1,-268.9,40.149998,0.53851646
3,2,-9.5,-271.8,41.55,0.53851646
4,3,-10.2,-278.4,46.9,0.56568545
5,4,-10.2,-282.55,48.45,0.50990194
6,5,-11.65,-289.05002,51.050003,0.4358899
7,6,-12.1,-293.19998,52.100002,0.56568545
8,7,-12.1,-296.6,52.8,0.56568545
9,8,-11.8,-299.8,53.3,0.56568545
10,9,-10.400001,-304.6,54.100002,0.56568545
11,10,-9.2,-320.15,56.0,0.5744563
12,11,-7.2999997,-331.95,57.200005,0.5744563
13,12,-6.5,-337.15,57.8,0.5744563
14,13,-5.5,-342.8,58.600002,0.56568545
15,14,-4.9,-348.6,58.899998,0.56568545
16,15,-4.9,-349.44998,58.999996,0.5744563
