segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,4.675,-277.09998,44.975002,3.1827662
15,0,4.7,-278.2,45.0,0.56568545
16,15,4.7,-278.80002,45.35,0.64031243
17,16,4.7,-279.9,45.8,0.56568545
18,17,4.65,-283.2,48.8,0.64031243
19,18,7.0,-289.0,50.9,0.56568545
20,19,7.9000006,-293.19998,52.100002,0.56568545
21,20,7.9000006,-296.6,52.8,0.56568545
22,21,7.5000005,-299.8,53.3,0.56568545
23,22,6.2,-304.6,54.100002,0.56568545
24,23,5.0,-320.15,56.0,0.5744563
25,24,3.1,-331.95,57.200005,0.5744563
26,25,2.3,-337.15,57.8,0.5744563
27,26,1.3000001,-342.8,58.600002,0.56568545
28,27,0.70000005,-348.6,58.899998,0.56568545
29,28,0.70000005,-349.44998,58.999996,0.5744563
1,0,4.65,-276.0,44.95,0.70710677
2,1,4.65,-275.4,44.95,0.46904156
3,2,4.65,-274.65,45.699997,0.46904156
4,3,4.65,-274.44998,47.5,0.42426404
5,4,2.8999999,-275.0,51.1,0.48989794
6,5,0.6,-275.3,52.824997,0.5123476
7,6,-2.1,-275.35,53.399998,0.5
8,7,-4.8500004,-275.3,52.824997,0.33541018
9,8,-7.1000004,-275.0,51.1,0.34641016
10,9,-8.65,-274.65,48.525,0.42720017
11,10,-9.2,-274.2,45.5,0.4472136
12,11,-8.7,-273.775,42.449997,0.33541018
13,12,-7.125,-273.42502,39.825,0.4330127
14,13,-4.8500004,-273.15,38.125,0.47169906
