segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-9.0,-277.09998,44.975002,3.11127
1,0,-9.0,-278.2,45.0,0.56568545
2,1,-9.0,-278.80002,45.35,0.64031243
3,2,-9.0,-279.9,45.8,0.56568545
4,3,-9.0,-283.2,48.8,0.56568545
5,4,-11.4,-289.0,50.9,0.56568545
6,5,-12.2,-293.19998,52.100002,0.56568545
7,6,-12.2,-296.6,52.8,0.56568545
8,7,-11.900001,-299.8,53.3,0.56568545
9,8,-10.5,-304.6,54.100002,0.56568545
10,9,-9.3,-320.15,56.0,0.5744563
11,10,-7.4,-331.95,57.200005,0.5744563
12,11,-6.6,-337.15,57.8,0.5744563
13,12,-5.6000004,-342.8,58.600002,0.56568545
14,13,-5.0,-348.6,58.899998,0.56568545
15,14,-5.0,-349.44998,58.999996,0.5744563
16,0,-9.0,-276.0,44.95,0.64031243
17,16,-9.0,-275.4,44.95,0.53851646
18,17,-9.0,-274.65,45.699997,0.53851646
19,18,-8.95,-274.44998,47.5,0.42426404
20,19,-7.2,-275.0,51.1,0.48989794
21,20,-4.95,-275.3,52.824997,0.48218253
22,21,-2.2,-275.35,53.399998,0.5
23,22,0.45,-275.3,52.824997,0.33541018
24,23,2.8000002,-275.0,51.1,0.34641016
25,24,4.325,-274.65,48.525,0.36742347
26,25,4.8500004,-274.2,45.5,0.36055514
27,26,4.375,-273.775,42.449997,0.44158804
28,27,2.775,-273.42502,39.825,0.4555217
29,28,0.525,-273.15,38.125,0.46368092
