segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,15.35,-187.15,-0.2,3.792097
1,0,15.35,-187.2,-0.2,0.67082036
2,1,15.35,-189.1,1.2,0.67082036
3,2,15.950001,-213.35,19.699999,0.70710677
4,3,15.825001,-215.975,21.15,0.6745369
5,4,13.075,-229.3,25.025002,0.6670832
6,5,10.875,-233.40001,24.2,0.66520673
7,6,5.7999997,-240.35,19.1,0.67082036
8,7,0.975,-242.67499,15.025001,0.622495
9,8,-0.35000002,-243.6,14.849999,0.70710677
10,9,-0.275,-246.0,16.2,0.63442886
11,10,-0.225,-257.5,21.15,0.7697402
12,11,-0.85,-262.775,23.25,0.68007356
13,12,-0.2,-268.15,36.25,0.678233
14,13,2.85,-269.75,39.15,0.65574384
15,14,4.725,-271.44998,41.75,0.7228416
16,15,5.2999997,-273.2,44.7,0.6324555
17,16,4.75,-275.0,47.9,0.728011
18,17,3.2,-276.5,50.449997,0.67082036
19,18,0.825,-277.525,52.350002,0.61237246
20,19,-1.7249999,-278.0,52.95,0.6726812
