segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-19.65,-187.15,-0.2,3.792097
1,0,-19.65,-187.2,-0.2,0.67082036
2,1,-19.65,-189.1,1.2,0.67082036
3,2,-20.25,-213.35,19.699999,0.70710677
4,3,-20.1,-215.975,21.15,0.78262377
5,4,-17.325,-229.3,25.025002,0.6363961
6,5,-15.150001,-233.40001,24.2,0.64031243
7,6,-10.075,-240.35,19.1,0.6422616
8,7,-5.25,-242.67499,15.025001,0.6595453
9,8,-3.9500003,-243.6,14.849999,0.70710677
10,9,-3.975,-246.0,16.2,0.63442886
11,10,-4.05,-257.5,21.15,0.73484695
12,11,-3.425,-262.775,23.25,0.717635
13,12,-4.0750003,-268.15,36.25,0.7228416
14,13,-7.125,-269.75,39.15,0.7228416
15,14,-9.0,-271.44998,41.75,0.678233
16,15,-9.6,-273.2,44.7,0.6324555
17,16,-9.0,-275.0,47.9,0.7483315
18,17,-7.5000005,-276.5,50.449997,0.70000005
19,18,-5.1,-277.525,52.350002,0.5937171
20,19,-2.525,-278.0,52.95,0.6873864
