segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.35,-275.02502,54.075005,2.1213202
1,0,1.35,-274.65,53.7,0.42426404
2,1,1.6,-274.65,53.149998,0.37416574
3,2,2.8999999,-274.35,51.1,0.41231057
4,3,3.7,-274.25,49.8,0.41231057
18,0,1.35,-275.4,54.45,0.42426404
19,18,1.35,-275.9,54.5,0.36055514
20,19,1.5,-278.09998,54.6,0.28284273
21,20,2.0,-285.3,55.05,0.5
22,21,3.3500001,-288.3,58.05,0.70710677
23,22,4.1499996,-291.19998,59.649998,0.70710677
24,23,4.25,-293.7,59.95,0.70710677
25,24,4.25,-298.0,60.2,0.78102493
26,25,2.4,-304.5,59.149998,0.64031243
27,26,1.65,-319.8,60.45,0.70710677
28,27,0.55,-336.7,61.05,0.70710677
29,28,-0.3,-341.0,60.85,0.64031243
30,29,-0.3,-345.6,60.8,0.6
31,30,-0.3,-349.5,60.8,0.6
5,4,3.7749999,-274.375,49.649998,0.36742347
6,5,3.7749999,-274.57498,49.625,0.25980762
7,6,3.625,-274.8,49.825,0.32403705
8,7,3.25,-274.95,50.449997,0.4358899
9,4,3.85,-274.225,49.5,0.5024938
10,9,4.4500003,-274.125,48.525,0.39370042
11,10,4.8500004,-274.02502,46.55,0.35000002
12,11,4.8500004,-274.225,46.125,0.48476797
13,12,4.8500004,-274.7,46.075,0.4387482
14,13,4.8500004,-275.1,46.35,0.37416574
15,14,4.4,-275.35,48.5,0.41231057
16,15,3.3500001,-275.57498,50.300003,0.33541018
17,16,2.9750001,-275.67502,50.75,0.23452078
