segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-5.625,-275.02502,54.075005,2.1213202
15,0,-5.65,-274.65,53.7,0.42426404
16,15,-5.85,-274.65,53.149998,0.4358899
17,16,-7.2,-274.35,51.1,0.41231057
18,17,-7.95,-274.25,49.8,0.46904156
1,0,-5.6000004,-275.4,54.45,0.36055514
2,1,-5.6000004,-275.9,54.5,0.28284273
3,2,-5.7999997,-278.09998,54.6,0.28284273
4,3,-6.25,-285.3,55.05,0.42426404
5,4,-7.5499997,-288.3,58.05,0.70710677
6,5,-8.45,-291.19998,59.649998,0.70710677
7,6,-8.55,-293.7,59.95,0.70710677
8,7,-8.55,-298.0,60.2,0.78102493
9,8,-6.65,-304.5,59.149998,0.70710677
10,9,-5.9,-319.8,60.45,0.64031243
11,10,-4.75,-336.7,61.05,0.70710677
12,11,-3.9500003,-341.0,60.85,0.70710677
13,12,-4.0,-345.6,60.8,0.6
14,13,-4.0,-349.5,60.8,0.6
19,18,-8.025001,-274.375,49.649998,0.46368092
20,19,-8.0,-274.57498,49.625,0.40620193
21,20,-7.875,-274.8,49.825,0.25495097
22,21,-7.5000005,-274.95,50.449997,0.37416574
23,18,-8.1,-274.225,49.5,0.45
24,23,-8.7,-274.125,48.525,0.32403705
25,24,-9.15,-274.02502,46.55,0.35000002
26,25,-9.15,-274.225,46.125,0.48476797
27,26,-9.15,-274.7,46.075,0.4387482
28,27,-9.15,-275.1,46.35,0.37416574
29,28,-8.675,-275.35,48.5,0.39051247
30,29,-7.6,-275.57498,50.300003,0.32015622
31,30,-7.25,-275.67502,50.75,0.40311286
