segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,0.70000005,-277.125,39.925,2.8460498
1,0,0.70000005,-276.15,39.55,0.50990194
2,1,0.70000005,-275.8,39.25,0.53851646
3,2,0.65000004,-274.85,38.850002,0.4358899
4,3,0.8,-273.775,38.775,0.40620193
5,4,1.55,-273.25,38.775,0.40311286
6,5,2.8999999,-273.42502,39.825,0.43011624
7,6,3.8,-273.55002,40.9,0.41231057
18,0,0.70000005,-278.09998,40.3,0.6
19,18,2.2,-281.6,41.600002,0.56568545
20,19,4.05,-291.59998,45.25,0.42426404
21,20,5.05,-298.7,47.05,0.42426404
22,21,3.05,-304.9,48.649998,0.42426404
23,22,3.05,-309.3,50.15,0.42426404
24,23,2.35,-317.19998,51.45,0.42426404
25,24,0.55,-337.0,54.85,0.42426404
26,25,-0.25,-342.6,55.85,0.42426404
27,26,-0.25,-346.30002,56.35,0.42426404
28,27,-0.25,-349.5,56.85,0.42426404
8,7,3.85,-273.7,41.0,0.3
9,8,3.8,-274.1,41.100002,0.4472136
10,9,4.05,-274.5,41.5,0.3
11,10,4.4500003,-274.725,42.5,0.39051247
12,11,4.95,-274.97498,44.5,0.4609772
13,12,4.9249997,-275.075,45.2,0.21213202
14,7,3.9,-273.6,41.100002,0.34641016
15,14,4.475,-273.775,42.449997,0.30822068
16,15,4.9,-274.15,45.0,0.36055514
17,16,4.975,-274.2,45.5,0.42720017
