segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-4.95,-277.125,39.925,2.9171906
12,0,-4.95,-276.15,39.55,0.4358899
13,12,-4.95,-275.8,39.25,0.46904156
14,13,-4.95,-274.85,38.850002,0.4358899
15,14,-5.075,-273.775,38.775,0.4330127
16,15,-5.7999997,-273.25,38.775,0.39051247
17,16,-7.175,-273.42502,39.825,0.295804
18,17,-8.075001,-273.55002,40.9,0.3640055
1,0,-4.95,-278.09998,40.3,0.53851646
2,1,-6.5,-281.6,41.600002,0.56568545
3,2,-8.299999,-291.59998,45.25,0.5
4,3,-9.25,-298.7,47.05,0.42426404
5,4,-7.35,-304.9,48.649998,0.42426404
6,5,-7.35,-309.3,50.15,0.42426404
7,6,-6.65,-317.19998,51.45,0.42426404
8,7,-4.75,-337.0,54.85,0.42426404
9,8,-4.0,-342.6,55.85,0.36055514
10,9,-4.0,-346.30002,56.35,0.36055514
11,10,-4.0,-349.5,56.85,0.36055514
19,18,-8.125,-273.7,41.0,0.25
20,19,-8.05,-274.1,41.100002,0.3
21,20,-8.325,-274.5,41.5,0.25
22,21,-8.725,-274.725,42.5,0.35355338
23,22,-9.224999,-274.97498,44.5,0.43011624
24,23,-9.175,-275.075,45.2,0.2915476
25,18,-8.2,-273.6,41.100002,0.34641016
26,25,-8.725,-273.775,42.449997,0.44158804
27,26,-9.15,-274.15,45.0,0.42426404
28,27,-9.25,-274.2,45.5,0.5
