segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.65,84.2,-3.15,3.8131351
1,0,-1.65,85.6,-2.6000001,0.67082036
2,1,-1.65,88.775,-1.3000001,0.6422616
3,2,-0.85,90.4,-0.9,0.64031243
4,3,0.2,90.6,-1.275,0.68007356
5,4,9.275,90.475,-0.8,0.7106335
6,5,18.5,89.15,4.4500003,0.78740084
7,6,23.225,87.1,12.8,0.68007356
8,7,25.3,84.899994,21.574999,0.80156094
9,8,23.225,82.75,30.300001,0.6873864
10,9,18.5,80.65,38.65,0.78740084
11,10,9.3,79.4,43.925,0.9604686
12,11,0.0,79.25,44.4,0.60827625
13,12,-1.425,77.525,43.85,0.57879186
14,13,-1.7750001,75.2,42.699997,0.7088724
15,14,-0.675,43.05,29.9,0.6103278
16,15,-0.70000005,38.3,28.05,0.53851646
17,16,-0.70000005,11.1,11.150001,0.53851646
18,17,-0.70000005,4.05,6.85,0.5830952
19,18,-0.70000005,-41.850002,-14.300001,0.5744563
20,19,-0.70000005,-47.850002,-17.0,0.5744563
21,20,-0.70000005,-77.450005,-22.2,0.5744563
22,21,-0.70000005,-81.3,-22.9,0.56568545
23,22,-0.70000005,-98.1,-19.5,0.56568545
24,23,-0.70000005,-114.450005,-14.599999,0.5744563
25,24,-0.70000005,-130.35,-8.4,0.5744563
26,25,-0.70000005,-162.75,9.700001,0.5744563
27,26,-0.70000005,-194.25,29.0,0.5744563
28,27,-0.70000005,-199.05,32.0,0.5744563
29,0,-1.65,82.8,-3.7,0.9433981
30,29,-1.6750001,79.7,-5.1,0.5678908
31,30,-2.2,69.5,-11.85,0.5
32,31,-5.85,65.525,-10.75,0.42720017
33,32,-10.375,61.85,-12.65,0.47169906
34,33,-13.45,56.199997,-14.45,0.42426404
35,34,-13.349999,47.600002,-19.875,0.4387482
36,35,-10.625,42.05,-24.449999,0.55
37,36,-4.35,36.1,-30.55,0.46904156
38,37,-1.4499999,32.2,-35.350002,0.42426404
39,38,-1.4499999,3.7500002,-50.050003,0.4358899
40,39,-1.4499999,-3.4499998,-53.250004,0.4358899
41,40,-1.4499999,-47.15,-65.85,0.4358899
42,41,-1.4499999,-53.3,-67.049995,0.42426404
43,42,-1.4499999,-84.15,-66.649994,0.4358899
44,43,-1.4499999,-102.35,-64.0,0.50990194
45,44,-1.4499999,-118.49999,-60.2,0.5
