segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.85,-195.275,-18.525,3.8910155
1,0,-1.85,-196.4,-17.75,0.46904156
2,1,-1.85,-198.3,-16.45,0.46904156
3,2,-2.95,-199.75,-15.549999,0.4358899
4,3,-4.9,-200.09999,-15.5,0.56568545
5,4,-11.325,-199.85,-15.05,0.63442886
6,5,-19.575,-197.375,-10.9,0.6964194
7,6,-23.800001,-193.45,-4.275,0.62649816
8,7,-25.625,-189.27501,2.625,0.6538348
9,8,-23.800001,-185.15001,9.525001,0.6576473
10,9,-19.575,-181.2,16.125,0.73824114
11,10,-11.325,-178.75,20.25,0.63442886
12,11,-4.9,-178.5,20.6,0.56568545
13,12,-1.95,-177.95,20.550001,0.65574384
14,13,-0.8,-176.0,17.5,0.6
15,14,-0.70000005,-162.75,9.700001,0.5744563
16,15,-0.70000005,-130.35,-8.4,0.5744563
17,16,-0.70000005,-114.450005,-14.599999,0.5744563
18,17,-0.70000005,-98.1,-19.5,0.56568545
19,18,-0.70000005,-81.3,-22.9,0.56568545
20,19,-0.70000005,-77.450005,-22.2,0.5744563
21,20,-0.70000005,-47.850002,-17.0,0.5744563
22,21,-0.70000005,-41.850002,-14.300001,0.5744563
23,22,-0.70000005,4.05,6.85,0.5830952
24,23,-0.70000005,11.1,11.150001,0.53851646
25,24,-0.70000005,38.3,28.05,0.53851646
26,25,-0.70000005,43.05,29.9,0.5744563
27,26,-0.70000005,88.1,47.350002,0.53851646
28,27,-0.70000005,91.0,48.5,0.6
29,28,-0.70000005,106.55,50.5,0.5744563
30,29,-0.70000005,124.100006,53.45,0.64031243
31,30,-0.70000005,128.3,53.149998,0.64031243
32,31,-0.70000005,173.65001,49.9,0.5744563
33,32,-0.70000005,180.35,48.100002,0.5744563
34,33,-0.70000005,223.25,36.7,0.5744563
35,34,-0.70000005,228.44998,34.5,0.5744563
36,35,-0.70000005,255.65,22.75,0.6480741
37,36,-0.70000005,259.45,21.699999,0.5744563
38,37,-0.70000005,288.15,13.400001,0.5744563
39,38,-0.70000005,293.55,12.6,0.5744563
40,39,-0.70000005,321.65,8.1,0.5744563
41,40,-0.70000005,326.2,8.1,0.56568545
42,41,-0.70000005,354.45,8.299999,0.5744563
43,42,-0.70000005,358.75,8.8,0.5744563
44,0,-1.85,-194.15,-19.300001,0.70710677
45,44,-1.4499999,-188.05,-23.6,0.50990194
46,45,-1.4499999,-167.6,-37.6,0.5
47,46,-1.4499999,-162.85,-40.05,0.4358899
48,47,-1.4499999,-135.45001,-53.95,0.4358899
49,48,-1.4499999,-118.49999,-60.2,0.5
50,49,-1.4499999,-112.75001,-61.15,0.4358899
