segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-1.85,-156.47499,-42.85,4.1400485
1,0,-1.85,-157.79999,-42.25,0.73484695
2,1,-1.5,-162.7,-40.149998,0.53851646
3,2,-1.4499999,-167.6,-37.6,0.5
4,3,-1.4499999,-186.7,-24.449999,0.46904156
29,0,-1.85,-155.15,-43.45,1.0344081
30,29,-1.9,-151.3,-45.6,0.8717798
31,30,-1.5,-132.35,-55.05,0.50990194
32,31,-1.4499999,-131.2,-55.549995,0.42426404
5,4,-1.6,-186.9,-24.349998,0.53851646
6,5,-1.9,-186.9,-24.375,0.4924429
7,6,-4.8,-186.9,-24.4,0.56568545
8,7,-11.325,-186.7,-24.025002,0.552268
9,8,-19.575,-184.3,-19.824999,0.73824114
10,9,-23.800001,-180.45,-13.175,0.62649816
11,10,-25.625,-176.375,-6.2,0.65192026
12,11,-23.800001,-172.35,0.775,0.6103278
13,12,-19.575,-168.5,7.4249997,0.73824114
14,13,-11.325,-166.075,11.65,0.61237246
15,14,-4.8,-165.90001,12.0,0.56568545
16,15,-1.1,-166.075,11.85,0.559017
17,16,-0.9,-166.1,11.825,0.585235
18,17,-0.70000005,-165.90001,11.7,0.6
19,18,-0.70000005,-162.75,9.700001,0.5744563
20,19,-0.70000005,-130.35,-8.4,0.5744563
21,20,-0.70000005,-117.850006,-13.500001,0.5744563
22,21,-0.70000005,-115.7,-14.0,0.56568545
23,17,-0.70000005,-166.3,11.95,0.53851646
24,23,-0.70000005,-178.55,19.9,0.5744563
25,24,-0.70000005,-180.35,20.900002,0.5744563
26,4,-1.4499999,-187.1,-24.25,0.46904156
27,26,-1.4499999,-199.15001,-15.700001,0.50990194
28,27,-1.4499999,-200.6,-14.5,0.41231057
