segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-2.345,394.6,3.678,3.0187428
1,0,-2.345,394.53,3.6509998,0.6402687
2,1,-2.831,393.431,3.112,0.48192117
3,2,-3.9810002,391.071,2.0679998,0.481132
4,3,-2.637,385.346,-5.1210003,0.47828862
5,4,-1.2609999,382.553,-9.573,0.4780209
6,5,-1.463,355.358,-21.439,0.47861883
7,6,-1.463,350.739,-22.991,0.47721696
8,7,-1.463,322.783,-26.029,0.4780209
9,8,-1.463,317.644,-26.503,0.47943717
10,9,-1.463,289.169,-25.485,0.4780209
11,10,-1.463,283.305,-25.018002,0.4780209
12,11,-1.463,256.25702,-21.51,0.4780209
13,12,-1.463,249.145,-20.244,0.47807112
14,13,-1.464,174.688,1.087,0.4801833
15,14,-1.463,167.575,2.271,0.48002085
16,15,-1.464,125.06799,4.474,0.48002085
17,16,-1.463,116.23501,4.46,0.4786147
18,17,-1.464,89.319,-0.487,0.4800333
19,18,-1.464,84.752,-1.9959999,0.47880685
20,19,-1.8750001,77.804,-6.3529997,0.4725886
21,20,-2.211,69.501,-11.827001,0.46855524
22,21,-5.843,65.517006,-10.744,0.4165093
23,22,-10.378,61.816,-12.658999,0.46703747
24,23,-13.425,56.226997,-14.43,0.4281355
25,24,-13.309,47.605,-19.862001,0.4382876
26,25,-10.605,42.071,-24.422,0.4727029
27,26,-4.344,36.12,-30.537998,0.47843912
28,27,-1.463,32.201,-35.333,0.47898227
29,28,-1.464,3.7870002,-50.083,0.47882357
30,29,-1.463,-3.4490001,-53.231003,0.47882357
31,30,-1.463,-47.151,-65.867004,0.47884443
32,31,-1.464,-53.324,-67.068,0.47851858
33,32,-1.463,-84.147,-66.674,0.479925
34,33,-1.464,-102.354004,-64.013,0.47843078
35,34,-1.464,-118.490005,-60.203,0.47756466
36,35,-1.464,-135.459,-53.970997,0.47921184
37,36,-1.463,-162.827,-40.074,0.47898227
38,37,-1.464,-167.617,-37.6,0.4792369
39,38,-1.464,-210.193,-8.407,0.47921184
40,39,-1.463,-214.966,-5.242,0.4803707
41,40,-1.464,-243.343,14.582001,0.48062462
42,41,-1.463,-247.91,17.366999,0.47968322
43,42,-1.9640001,-268.733,27.205,0.48282915
44,43,-2.45,-271.404,33.438,0.48254743
45,44,-3.577,-272.72,36.007,0.48088256
46,45,-4.802,-273.156,38.11,0.39507467
47,46,-7.119,-273.407,39.839,0.4022636
48,47,-8.688,-273.783,42.467003,0.4014424
49,48,-9.201,-274.205,45.482002,0.40333113
50,49,-8.655,-274.66,48.519,0.40116832
51,50,-7.121,-274.998,51.095997,0.43534353
52,51,-4.8129997,-275.3,52.814,0.4349207
53,52,-2.108,-275.368,53.405,0.4497822
54,53,0.596,-275.3,52.814,0.4349207
55,54,2.904,-274.998,51.095997,0.4330958
56,55,4.438,-274.66,48.519,0.40190047
57,56,4.9839997,-274.20398,45.482002,0.40232325
58,57,4.4709997,-273.783,42.467003,0.4006295
59,58,2.903,-273.407,39.839,0.4022636
60,59,0.63299996,-273.155,38.111,0.40208954
61,60,-0.0019999999,-273.088,36.629,0.40106857
62,61,-0.306,-273.088,34.036,0.4006944
