segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.75,394.5,4.0,3.1128764
1,0,-0.85,394.5,4.0,0.53851646
2,1,-0.475,394.1,3.7500002,0.5408327
3,2,2.325,391.45,2.2250001,0.5244044
4,3,3.075,390.5,1.35,0.5024938
5,4,3.325,388.625,-0.975,0.4974937
6,5,1.8249999,385.325,-5.175,0.4555217
7,6,-0.85,382.65,-9.650001,0.4358899
8,7,-1.4499999,355.35,-21.449999,0.4358899
9,8,-1.4499999,350.75,-23.0,0.50990194
10,9,-1.4499999,322.8,-26.050001,0.42426404
11,10,-1.4499999,317.6,-26.499998,0.5
12,11,-1.4499999,289.19998,-25.5,0.5
13,12,-1.4499999,283.3,-25.0,0.5
14,13,-1.4499999,256.3,-21.5,0.5
15,14,-1.4499999,249.09999,-20.25,0.42426404
16,15,-1.4499999,174.65,1.05,0.4358899
17,16,-1.4499999,167.6,2.25,0.42426404
18,17,-1.4499999,125.100006,4.4500003,0.42426404
19,18,-1.4499999,116.2,4.4500003,0.42426404
20,19,-1.4499999,98.4,1.4000001,0.5
21,20,-1.4499999,94.2,0.85,0.42426404
