segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-0.116,395.43298,5.992,2.5611413
1,0,-0.036000002,394.95398,5.992,0.8499435
2,1,0.603,393.889,4.98,0.56603885
3,2,3.119,390.978,2.105,0.5657314
4,3,3.153,388.345,-1.206,0.5663215
5,4,1.8270001,385.54202,-5.095,0.51613176
6,5,0.639,384.08798,-7.664,0.47828862
7,6,-0.479,382.716,-9.896,0.477841
8,7,-1.463,355.358,-21.439,0.47861883
9,8,-1.464,350.739,-22.991,0.47863555
10,9,-1.464,322.783,-26.029,0.4780209
11,10,-1.464,317.644,-26.503,0.47943717
12,11,-1.463,289.169,-25.484,0.48084924
13,12,-1.464,283.305,-25.018002,0.47943717
14,13,-1.464,256.25702,-21.51,0.4780209
15,14,-1.463,249.145,-20.244,0.47948724
16,15,-1.463,174.688,1.087,0.47876924
17,16,-1.464,167.575,2.271,0.48002085
18,17,-1.463,125.06799,4.474,0.48002085
19,18,-1.463,116.23501,4.461,0.47860628
20,19,-1.463,89.319,-0.48600003,0.47721696
21,20,-1.463,84.752,-1.9959999,0.47880685
22,21,-1.8750001,77.804,-6.3529997,0.4725886
23,22,-2.211,69.501,-11.827001,0.46855524
24,23,-5.843,65.517006,-10.744,0.4165093
25,24,-10.378,61.816,-12.658999,0.46703747
26,25,-13.425,56.228,-14.43,0.4279346
27,26,-13.309,47.605,-19.862001,0.4382876
28,27,-10.605,42.071,-24.422,0.4727029
29,28,-4.344,36.12,-30.537998,0.47843912
30,29,-1.464,32.201,-35.333,0.47756466
31,30,-1.463,3.7870002,-50.083,0.47882357
32,31,-1.463,-3.4490001,-53.232002,0.47877342
33,32,-1.464,-47.151,-65.867004,0.4802583
34,33,-1.463,-53.324,-67.068,0.47851858
35,34,-1.464,-84.147,-66.674,0.479925
36,35,-1.464,-102.354004,-64.013,0.47701156
37,36,-1.463,-118.490005,-60.203,0.47898227
38,37,-1.463,-135.459,-53.970997,0.47921184
39,38,-1.464,-162.826,-40.074,0.4792369
40,39,-1.464,-167.617,-37.599,0.47921184
41,40,-1.464,-210.193,-8.407,0.47782004
42,41,-1.463,-214.966,-5.242,0.4803707
43,42,-1.464,-243.343,14.582001,0.48062462
44,43,-1.463,-247.91,17.366999,0.47968322
45,44,-1.9640001,-269.86002,28.431002,0.48344183
46,45,-2.339,-271.03702,33.142002,0.48344183
47,46,-3.517,-272.911,36.086,0.4823028
48,47,-4.8069997,-273.147,38.088,0.3996999
49,48,-7.119,-273.407,39.839,0.4022636
50,49,-8.688,-273.783,42.467003,0.4014424
51,50,-9.201,-274.205,45.482002,0.40333113
52,51,-8.655,-274.66,48.519,0.40116832
53,52,-7.121,-274.998,51.095997,0.43534353
54,53,-4.8129997,-275.3,52.814,0.4349207
55,54,-2.108,-275.368,53.405,0.4497822
56,55,0.596,-275.3,52.814,0.4349207
57,56,2.904,-274.998,51.095997,0.4330958
58,57,4.438,-274.66,48.519,0.40190047
59,58,4.9839997,-274.20398,45.482002,0.40231827
60,59,4.4709997,-273.783,42.467003,0.4006295
61,60,2.903,-273.407,39.839,0.4022636
62,61,2.588,-273.37,39.521,0.40152213
