segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,10.875,-246.3,31.05,3.6414285
1,0,10.849999,-247.25002,31.900002,0.70710677
2,1,10.9,-247.79999,32.4,0.48989794
3,2,10.9,-250.45,34.7,0.5744563
4,3,10.9,-257.15,37.75,0.50990194
39,0,10.9,-245.35,30.199999,0.64031243
40,39,10.55,-244.4,28.650002,0.46904156
41,40,8.150001,-241.54999,25.400002,0.46904156
42,41,3.3,-241.05,18.35,0.46904156
43,42,-0.875,-242.3,15.299999,0.47169906
44,43,-1.425,-242.95001,15.299999,0.6103278
45,44,-1.525,-243.95001,14.775001,0.5244044
46,45,-1.5,-247.90001,17.35,0.5
47,46,-1.95,-263.85,23.95,0.4358899
48,47,-1.95,-267.4,26.65,0.46904156
49,48,-1.95,-270.0,29.9,0.41231057
50,49,-1.95,-270.7,30.65,0.46904156
5,4,10.9,-257.3,38.05,0.64031243
6,5,10.9,-257.05,38.25,0.46904156
7,6,10.9,-255.34999,38.550003,0.37416574
8,7,10.9,-250.15,41.3,0.45825756
9,8,10.9,-243.84999,41.45,0.37416574
10,9,10.9,-243.6,41.55,0.45825756
11,10,10.849999,-243.45,41.95,0.33166248
12,11,10.849999,-242.65001,43.65,0.33166248
13,9,10.9,-243.4,41.350002,0.36055514
14,13,10.3,-236.75,39.95,0.37416574
15,14,10.3,-236.5,40.05,0.45825756
16,15,10.275001,-236.45001,40.35,0.40311286
17,16,10.275001,-235.95,41.850002,0.32015622
18,14,10.3,-236.35,39.85,0.37416574
19,18,9.6,-230.45001,38.05,0.37416574
20,19,9.6,-230.20001,38.100002,0.48989794
21,20,9.575,-230.1,38.4,0.5123476
22,21,9.525001,-229.425,39.85,0.39370042
23,19,9.6,-230.02501,37.850002,0.3640055
24,23,9.0,-225.32498,36.35,0.3640055
25,24,8.975,-224.62498,36.149998,0.36742347
26,4,10.9,-257.6,38.0,0.6
27,26,9.0,-281.69998,48.15,0.5
28,27,9.0,-289.85,51.075,0.5408327
29,28,8.6,-293.19998,52.100002,0.56568545
30,29,7.9000006,-296.6,52.8,0.56568545
31,30,7.5000005,-299.8,53.3,0.56568545
32,31,6.2,-304.6,54.100002,0.56568545
33,32,5.0,-320.15,56.0,0.5744563
34,33,3.1,-331.95,57.200005,0.5744563
35,34,2.3,-337.15,57.8,0.5744563
36,35,1.3000001,-342.8,58.600002,0.56568545
37,36,0.70000005,-348.6,58.899998,0.56568545
38,37,0.70000005,-349.44998,58.999996,0.5744563
