segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-15.05,-246.3,31.05,3.5707142
1,0,-15.05,-247.25002,31.900002,0.70710677
2,1,-15.05,-247.79999,32.4,0.41231057
3,2,-15.05,-250.45,34.7,0.50990194
4,3,-15.05,-257.15,37.75,0.4358899
39,0,-15.05,-245.35,30.199999,0.70710677
40,39,-14.7,-244.4,28.650002,0.53851646
41,40,-12.325,-241.54999,25.400002,0.5024938
42,41,-7.475,-241.05,18.35,0.45
43,42,-3.3,-242.3,15.299999,0.48989794
44,43,-2.75,-242.95001,15.299999,0.50990194
45,44,-2.6499999,-243.95001,14.775001,0.55
46,45,-2.6499999,-247.90001,17.35,0.42426404
47,46,-2.2,-263.85,23.95,0.50990194
48,47,-2.2,-267.4,26.65,0.53851646
49,48,-2.2,-270.0,29.9,0.48989794
50,49,-2.2,-270.7,30.65,0.53851646
5,4,-15.05,-257.3,38.05,0.5830952
6,5,-15.05,-257.05,38.25,0.51961523
7,6,-15.05,-255.34999,38.550003,0.4358899
8,7,-15.05,-250.15,41.3,0.50990194
9,8,-15.05,-243.84999,41.45,0.4358899
10,9,-15.05,-243.6,41.55,0.50990194
11,10,-15.05,-243.45,41.95,0.33166248
12,11,-15.05,-242.65001,43.65,0.33166248
13,9,-15.05,-243.4,41.350002,0.42426404
14,13,-14.5,-236.75,39.95,0.37416574
15,14,-14.45,-236.5,40.05,0.42426404
16,15,-14.45,-236.45001,40.35,0.33166248
17,16,-14.425,-235.95,41.850002,0.35000002
18,14,-14.4,-236.35,39.85,0.37416574
19,18,-13.799999,-230.45001,38.05,0.37416574
20,19,-13.75,-230.20001,38.100002,0.53851646
21,20,-13.725,-230.1,38.4,0.47169906
22,21,-13.7,-229.425,39.85,0.41533118
23,19,-13.7,-230.02501,37.850002,0.3640055
24,23,-13.2,-225.32498,36.35,0.3640055
25,24,-13.099999,-224.62498,36.149998,0.3640055
26,4,-15.05,-257.6,38.0,0.53851646
27,26,-13.150001,-281.69998,48.15,0.42426404
28,27,-13.150001,-289.85,51.075,0.47169906
29,28,-12.700001,-293.19998,52.100002,0.56568545
30,29,-12.1,-296.6,52.8,0.56568545
31,30,-11.7,-299.8,53.3,0.56568545
32,31,-10.3,-304.6,54.100002,0.56568545
33,32,-9.2,-320.15,56.0,0.5744563
34,33,-7.2,-331.95,57.200005,0.5744563
35,34,-6.4,-337.15,57.8,0.5744563
36,35,-5.5,-342.8,58.600002,0.56568545
37,36,-4.9,-348.6,58.899998,0.56568545
38,37,-4.9,-349.44998,58.999996,0.5744563
