segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,17.45,61.05,6.95,3.902563
1,0,17.45,60.95,6.8999996,0.96953595
2,1,17.45,59.899998,6.3500004,0.70710677
3,2,17.5,59.100002,5.2999997,0.6
4,3,18.3,59.05,-0.95,0.6480741
5,4,16.65,59.05,-4.3,0.61644137
6,5,13.7,58.850002,-9.925,0.6422616
7,6,13.400001,55.199997,-14.900001,0.6
8,7,13.2,47.5,-19.875,0.3774917
9,8,9.925,42.05,-24.449999,0.55
10,9,3.6499999,36.1,-30.55,0.46904156
11,10,0.75,32.25,-35.05,0.4358899
12,11,0.75,3.7500002,-50.050003,0.4358899
13,12,0.75,-3.4499998,-53.250004,0.4358899
14,13,0.75,-47.15,-65.85,0.4358899
15,14,0.75,-53.3,-67.049995,0.42426404
16,15,0.75,-84.15,-66.649994,0.4358899
17,16,0.75,-102.35,-64.0,0.50990194
18,17,0.75,-118.49999,-60.2,0.5
19,18,0.75,-135.45001,-53.95,0.4358899
20,19,0.75,-162.85,-40.05,0.4358899
21,20,0.75,-167.6,-37.6,0.5
22,21,0.75,-210.2,-8.4,0.5
23,22,0.75,-214.94998,-5.25,0.4358899
24,23,0.75,-243.35,14.55,0.4358899
25,24,0.75,-247.90001,17.35,0.42426404
26,25,-0.55,-267.5,25.9,0.41231057
27,26,-1.5,-270.05,29.949999,0.5830952
28,27,-0.2,-271.95,34.275,0.39051247
29,28,1.0,-273.15,37.625,0.3640055
30,29,2.8999999,-273.42502,39.825,0.40620193
31,30,4.475,-273.775,42.449997,0.44158804
32,31,4.975,-274.2,45.5,0.42720017
33,32,4.4500003,-274.65,48.525,0.4924429
34,33,2.8999999,-275.0,51.1,0.48989794
35,34,0.6,-275.3,52.824997,0.5123476
36,35,-2.1,-275.35,53.399998,0.5
37,36,-4.8500004,-275.3,52.824997,0.33541018
38,37,-7.1000004,-275.0,51.1,0.34641016
39,38,-8.65,-274.65,48.525,0.42720017
40,39,-9.2,-274.2,45.5,0.4472136
41,40,-8.7,-273.775,42.449997,0.33541018
42,41,-7.125,-273.42502,39.825,0.4330127
43,42,-4.9249997,-273.15,38.025,0.46368092
44,43,-3.5750003,-272.25,34.875,0.41833004
45,44,-2.75,-270.35,30.675,0.40311286
