segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,-21.65,61.05,6.95,3.902563
1,0,-21.65,60.95,6.8999996,0.96953595
2,1,-21.65,59.899998,6.3500004,0.70710677
3,2,-21.65,59.100002,5.2999997,0.67082036
4,3,-22.45,59.05,-0.95,0.71414286
5,4,-20.800001,59.05,-4.3,0.67082036
6,5,-17.800001,58.850002,-10.1,0.53851646
7,6,-13.45,56.199997,-14.45,0.42426404
8,7,-13.349999,47.600002,-19.875,0.4387482
9,8,-10.625,42.05,-24.449999,0.55
10,9,-4.35,36.1,-30.55,0.46904156
11,10,-1.4499999,32.2,-35.350002,0.42426404
12,11,-1.4499999,3.7500002,-50.050003,0.4358899
13,12,-1.4499999,-3.4499998,-53.250004,0.4358899
14,13,-1.4499999,-47.15,-65.85,0.4358899
15,14,-1.4499999,-53.3,-67.049995,0.42426404
16,15,-1.4499999,-84.15,-66.649994,0.4358899
17,16,-1.4499999,-102.35,-64.0,0.50990194
18,17,-1.4499999,-118.49999,-60.2,0.5
19,18,-1.4499999,-135.45001,-53.95,0.4358899
20,19,-1.4499999,-162.85,-40.05,0.4358899
21,20,-1.4499999,-167.6,-37.6,0.5
22,21,-1.4499999,-210.2,-8.4,0.5
23,22,-1.4499999,-214.94998,-5.25,0.4358899
24,23,-1.4499999,-243.35,14.55,0.4358899
25,24,-1.4499999,-247.90001,17.35,0.42426404
26,25,-1.95,-267.5,25.85,0.46904156
27,26,-2.7,-270.05,29.949999,0.5830952
28,27,-3.9500003,-271.95,34.275,0.45
29,28,-5.15,-273.15,37.625,0.45
30,29,-7.075,-273.42502,39.825,0.295804
31,30,-8.625,-273.775,42.449997,0.44158804
32,31,-9.15,-274.2,45.5,0.5
33,32,-8.6,-274.65,48.525,0.4387482
34,33,-7.1000004,-275.0,51.1,0.48989794
35,34,-4.75,-275.3,52.824997,0.48218253
36,35,-2.1,-275.35,53.399998,0.5
37,36,0.65000004,-275.3,52.824997,0.33541018
38,37,2.95,-275.0,51.1,0.41231057
39,38,4.475,-274.65,48.525,0.41833004
40,39,5.05,-274.2,45.5,0.36055514
41,40,4.5249996,-273.775,42.449997,0.36742347
42,41,2.95,-273.42502,39.825,0.44158804
43,42,0.75,-273.15,38.025,0.47169906
44,43,-0.6,-272.25,34.875,0.4387482
45,44,-1.425,-270.35,30.675,0.41833004
