segment_id,parent_segment,distal_x,distal_y,distal_z,diameter
0,,1.55,-311.65,54.45,3.6193922
1,0,1.55,-310.34998,54.3,0.6480741
2,1,1.55,-308.1,54.05,0.42426404
3,2,1.55,-291.5,52.100002,0.5
4,3,1.55,-291.1,52.05,0.46904156
5,4,1.55,-290.8,52.399998,0.5
6,5,1.55,-290.85,53.600002,0.46904156
7,6,1.2,-290.85,54.45,0.37416574
8,7,0.70000005,-290.85,55.5,0.41231057
9,8,-0.45,-290.85,56.25,0.4358899
10,9,-2.1,-290.85,56.65,0.42426404
11,10,-3.6499999,-290.85,56.15,0.4358899
12,11,-4.75,-290.85,55.05,0.4358899
13,12,-4.95,-290.85,53.475,0.42720017
14,13,-4.95,-290.8,52.3,0.41231057
15,14,-4.95,-290.65002,52.100002,0.37416574
16,15,-4.95,-286.7,50.6,0.36055514
17,16,-4.95,-286.6,50.550003,0.42426404
18,0,1.55,-312.94998,54.6,0.6480741
19,18,1.5,-315.025,54.85,0.5024938
20,19,-0.15,-339.7,57.8,0.36055514
21,20,-0.2,-340.375,57.9,0.32015622
22,21,-0.05,-340.55,57.8,0.37416574
23,22,0.1,-340.55,57.6,0.41231057
24,23,0.2,-340.45,57.4,0.3
25,24,0.3,-340.25,57.45,0.37416574
26,25,0.35000002,-340.17502,57.625,0.3391165
27,26,0.4,-340.15,57.925,0.3640055
28,27,0.3,-340.17502,58.399998,0.32015622
29,28,0.0,-340.15,58.749996,0.42426404
30,29,-0.32500002,-340.15,58.850002,0.42720017
